Map Projection,Map Projection,Map,Map Projection Zone,Information,Remarks,Revision,Coordinate,Projection,Projection,Proj. Param,Proj. Param,Prime,Longitude,Latitude,Scale, False, False,Latitude of,Latitude of,Latitude of False Origin,Longitude of False Origin,Easting at,Northing at,Latitude of,Longitude of,Easting at,Northing at,Azimuth of Initial Line,Scale Factor,,Proj Zone,Zone,Old Map
Sud Maroc,,18132,Morocco 31gr to 35gr  (27 deg 54 min to 31 deg 30 min) N,,,02-Jun-95,Lambert Conic Conformal (1SP),9001,metre,9105,grad,Greenwich,6 grads W,33 grads N,0.9996156,500000,300000,,,,,,,,,,,,,,9,0,P0460
Sahara,,18133,Morocco south of 31gr  (27 deg 54 min) N,IGN Paris,Created in 1977 to cover Sahara Marocain (ex Spanish Sahara),02-Jun-95,Lambert Conic Conformal (1SP),9001,metre,9105,grad,Greenwich,6 grads W,29 grads N,0.9996000,1200000,400000,,,,,,,,,,,,,,6,0,P0461
RD New,,19914,Netherlands - onshore,Nederlandse Commissie voor Geodesie publication 30,,02-Jun-95,Oblique Stereographic,9001,metre,9107,DMS,Greenwich,5deg 23min 15.500sec E,52deg  9min 22.178sec N,0.9999079,155000,463000,,,,,,,,,,,,,,6,0,P0530
RD Old,,19913,Netherlands - onshore,Nederlandse Commissie voor Geodesie,,02-Jun-95,Oblique Stereographic,9001,metre,9107,DMS,Greenwich,5deg 23min 15.500sec E,52deg  9min 22.178sec N,0.9999079,0,0,,,,,,,,,,,,,,6,0,P0529
New Zealand Map Grid,,19917,New Zealand,Dept. of Lands and Surveys Technical Circular 1973/32; 23 Nov 1973.,,02-Jun-95,New Zealand Map Grid,9001,metre,9101,degree,Greenwich,173,-41,,2510000,6023150,,,,,,,,,,,,,,20,0,P0528
New Zealand North Island National Grid,North Island Grid,18141,New Zealand North Island,,Conversion factor used: Sears Ratio,02-Jun-95,Transverse Mercator,9012,yard (Sears),9107,DMS,Greenwich,175deg 30min  0.000sec E,39deg  0min  0.000sec S,1.0000000,300000,400000,,,,,,,,,,,,,,abbr req (38),17,P0509
New Zealand South Island National Grid,South Island Grid,18142,New Zealand South Island,,Conversion factor used: Sears Ratio,02-Jun-95,Transverse Mercator,9012,yard (Sears),9107,DMS,Greenwich,171deg 30min  0.000sec E,44deg  0min  0.000sec S,1.0000000,500000,500000,,,,,,,,,,,,,,abbr req (38),17,P0510
Nigeria West Belt,,18151,Nigeria west of 6 deg 30 min E,,,02-Jun-95,Transverse Mercator,9001,metre,9107,DMS,Greenwich,4deg 30min  0.000sec E,4deg  0min  0.000sec N,0.9997500,230738.26,0,,,,,,,,,,,,,,17,0,P0508
Nigeria Mid Belt,,18152,Nigeria between 6 deg 30 min and 10 deg 30 min E,,,02-Jun-95,Transverse Mercator,9001,metre,9107,DMS,Greenwich,8deg 30min  0.000sec E,4deg  0min  0.000sec N,0.9997500,670553.98,0,,,,,,,,,,,,,,16,0,P0507
Nigeria East Belt,,18153,Nigeria east of 10 deg 30 min E,,,02-Jun-95,Transverse Mercator,9001,metre,9107,DMS,Greenwich,12deg 30min  0.000sec E,4deg  0min  0.000sec N,0.9997500,1110369.7,0,,,,,,,,,,,,,,17,0,P0506
Peru west zone,,18161,Peru west of 79 deg W,,,02-Jun-95,Transverse Mercator,9001,metre,9107,DMS,Greenwich,80deg 30min  0.000sec W,6deg  0min  0.000sec S,0.9998301,222000,1426834.74,,,,,,,,,,,,,,14,0,P0512
Peru central zone,,18162,Peru 79 to 73 deg W,,,02-Jun-95,Transverse Mercator,9001,metre,9107,DMS,Greenwich,76deg  0min  0.000sec W,9deg 30min  0.000sec S,0.9993299,720000,1039979.16,,,,,,,,,,,,,,17,0,P0513
Peru east zone,,18163,Peru east of 73 deg W,,,02-Jun-95,Transverse Mercator,9001,metre,9107,DMS,Greenwich,70deg 30min  0.000sec W,9deg 30min  0.000sec S,0.9995299,1324000,1040084.56,,,,,,,,,,,,,,14,0,P0514
Philippines zone  I,,18171,Philippines - west of 118 deg. E,,,02-Jun-95,Transverse Mercator,9001,metre,9107,DMS,Greenwich,117deg  0min  0.000sec E,0deg  0min  0.000sec N,0.9999500,500000,0,,,,,,,,,,,,,,19,0,P0515
Philippines zone  II,,18172,Philippines - Palawan; Calamian Islands,,,02-Jun-95,Transverse Mercator,9001,metre,9107,DMS,Greenwich,119deg  0min  0.000sec E,0deg  0min  0.000sec N,0.9999500,500000,0,,,,,,,,,,,,,,20,0,P0516
Philippines zone  III,,18173,"Philippines - Luzon (except SE part,); Mindoro",,,02-Jun-95,Transverse Mercator,9001,metre,9107,DMS,Greenwich,121deg  0min  0.000sec E,0deg  0min  0.000sec N,0.9999500,500000,0,,,,,,,,,,,,,,21,0,P0517
Philippines zone  IV,,18174,Philippines - SE Luzon; Tablas; Masbate; Panay; Cebu; Negros; W. Mindanao,,,02-Jun-95,Transverse Mercator,9001,metre,9107,DMS,Greenwich,123deg  0min  0.000sec E,0deg  0min  0.000sec N,0.9999500,500000,0,,,,,,,,,,,,,,20,0,P0518
Philippines zone  V,,18175,Philippines - E. Mindanao; Bohol; Samar,,,02-Jun-95,Transverse Mercator,9001,metre,9107,DMS,Greenwich,125deg  0min  0.000sec E,0deg  0min  0.000sec N,0.9999500,500000,0,,,,,,,,,,,,,,19,0,P0519
Portugese National Grid,,19918,Portugal onshore,,Original transformation by Gauss-Kruger formula,02-Jun-95,Transverse Mercator,9001,metre,9107,DMS,Lisbon,1deg  0min 0.000sec E,39deg 40min  0.000sec N,1.0000000,200000,300000,,,,,,,,,,,,,,23,0,P0520
Qatar National Grid,,19919,Qatar,,,02-Jun-95,Transverse Mercator,9001,metre,9107,DMS,Greenwich,51deg 13min  0.000sec E,24deg 27min  0.000sec N,0.9999900,200000,300000,,,,,,,,,,,,,,19,0,P0521
Singapore Grid,,19920,Singapore,,,02-Jun-95,Cassini-Soldner,9001,metre,9107,DMS,Greenwich,103deg 51min 10.808sec E,1deg 17min 15.528sec N,,30000,30000,,,,,,,,,,,,,,14,0,P0522
Lo13,,17513,Southern Africa 12 to 14 deg E,,Transformation method sometimes described as Gauss conformal,02-Jun-95,Transverse Mercator (South Orientated),9001,metre,9107,DMS,Greenwich,13deg  0min  0.000sec E,0deg  0min  0.000sec,1.0000000,0,0,,,,,,,,,,,,,,4,0,
Lo15,,17515,Southern Africa 14 to 16 deg E,,Transformation method sometimes described as Gauss conformal,02-Jun-95,Transverse Mercator (South Orientated),9001,metre,9107,DMS,Greenwich,15deg  0min  0.000sec E,0deg  0min  0.000sec,1.0000000,0,0,,,,,,,,,,,,,,4,0,
Lo17,,17517,Southern Africa 16 to 18 deg E,,Transformation method sometimes described as Gauss conformal,02-Jun-95,Transverse Mercator (South Orientated),9001,metre,9107,DMS,Greenwich,17deg  0min  0.000sec E,0deg  0min  0.000sec,1.0000000,0,0,,,,,,,,,,,,,,4,0,
Lo19,,17519,Southern Africa 18 to 20 deg E,,Transformation method sometimes described as Gauss conformal,02-Jun-95,Transverse Mercator (South Orientated),9001,metre,9107,DMS,Greenwich,19deg  0min  0.000sec E,0deg  0min  0.000sec,1.0000000,0,0,,,,,,,,,,,,,,4,0,
Lo21,,17521,Southern Africa 20 to 22 deg E,,Transformation method sometimes described as Gauss conformal,02-Jun-95,Transverse Mercator (South Orientated),9001,metre,9107,DMS,Greenwich,21deg  0min  0.000sec E,0deg  0min  0.000sec,1.0000000,0,0,,,,,,,,,,,,,,4,0,
Lo23,,17523,Southern Africa 22 to 24 deg E,,Transformation method sometimes described as Gauss conformal,02-Jun-95,Transverse Mercator (South Orientated),9001,metre,9107,DMS,Greenwich,23deg  0min  0.000sec E,0deg  0min  0.000sec,1.0000000,0,0,,,,,,,,,,,,,,4,0,
Lo25,,17525,Southern Africa 24 to 26 deg E,,Transformation method sometimes described as Gauss conformal,02-Jun-95,Transverse Mercator (South Orientated),9001,metre,9107,DMS,Greenwich,25deg  0min  0.000sec E,0deg  0min  0.000sec,1.0000000,0,0,,,,,,,,,,,,,,4,0,
Lo27,,17527,Southern Africa 26 to 28 deg E,,Transformation method sometimes described as Gauss conformal,02-Jun-95,Transverse Mercator (South Orientated),9001,metre,9107,DMS,Greenwich,27deg  0min  0.000sec E,0deg  0min  0.000sec,1.0000000,0,0,,,,,,,,,,,,,,4,0,
Lo29,,17529,Southern Africa 28 to 30 deg E,,Transformation method sometimes described as Gauss conformal,02-Jun-95,Transverse Mercator (South Orientated),9001,metre,9107,DMS,Greenwich,29deg  0min  0.000sec E,0deg  0min  0.000sec,1.0000000,0,0,,,,,,,,,,,,,,4,0,
Lo31,,17531,Southern Africa 30 to 32 deg E,,Transformation method sometimes described as Gauss conformal,02-Jun-95,Transverse Mercator (South Orientated),9001,metre,9107,DMS,Greenwich,31deg  0min  0.000sec E,0deg  0min  0.000sec,1.0000000,0,0,,,,,,,,,,,,,,4,0,
Lo33,,17533,Southern Africa 32 to 34 deg E,,Transformation method sometimes described as Gauss conformal,02-Jun-95,Transverse Mercator (South Orientated),9001,metre,9107,DMS,Greenwich,33deg  0min  0.000sec E,0deg  0min  0.000sec,1.0000000,0,0,,,,,,,,,,,,,,4,0,
Lo35,,17535,Southern Africa 34 to 36 deg E,,Transformation method sometimes described as Gauss conformal,02-Jun-95,Transverse Mercator (South Orientated),9001,metre,9107,DMS,Greenwich,35deg  0min  0.000sec E,0deg  0min  0.000sec,1.0000000,0,0,,,,,,,,,,,,,,4,0,
Spain,,19921,Spain,,Superceded by UTM,02-Jun-95,Lambert Conic Conformal (1SP),9001,metre,9101,degree,Madrid,0,40,0.9988085,600000,600000,,,,,,,,,,,,,,5,0,P0463
Tobago Grid,,19924,Trinidad and Tobago - Tobago,,,02-Jun-95,Cassini-Soldner,9007,link (Clarke's ratio),9107,DMS,Greenwich,60deg 41min  9.632sec W,11deg 15min  7.843sec N,,187500,180000,,,,,,,,,,,,,,11,0,P0523
Trinidad Grid,,19925,Trinidad and Tobago - Trinidad,,,02-Jun-95,Cassini-Soldner,9007,link (Clarke's ratio),9107,DMS,Greenwich,61deg 20min  0.000sec W,10deg 26min 30.000sec N,,430000,325000,,,,,,,,,,,,,,13,0,P0524
Nord Tunisie,,18181,Tunisia north of 38.5 grads (34 deg 39 min) N,,,02-Jun-95,Lambert Conic Conformal (1SP),9001,metre,9105,grad,Greenwich,11 g E,40 g N,0.9996255,500000,300000,,,,,,,,,,,,,,12,0,P0464
Sud Tunisie,,18182,Tunisia south of 38.5 grads (34 deg 39 min) N,,,02-Jun-95,Lambert Conic Conformal (1SP),9001,metre,9105,grad,Greenwich,11 g E,37 g N,0.9996258,500000,300000,,,,,,,,,,,,,,11,0,P0465
British National Grid,,19916,United Kingdom - onshore England; Scotland; Wales; Isle of Man,,,02-Jun-95,Transverse Mercator,9001,metre,9107,DMS,Greenwich,2deg  0min  0.000sec W,49deg  0min  0.000sec N,0.9996013,400000,-100000,,,,,,,,,,,,,,21,0,P0488
Alabama CS27 East zone,Alabama East,10101,United States - Alabama - Counties east of 86d 37m West,USGS Professional Paper #1395,,02-Jun-95,Transverse Mercator,9003,U.S. Survey Foot,9107,DMS,Greenwich,85deg 50min  0.000sec W,30deg 30min  0.000sec N,0.9999600,500000,0,,,,,,,,,,,,,,22,12,P0125
Alabama CS27 West zone,Alabama West,10102,United States - Alabama - Counties east of 86d 37m West,USGS Professional Paper #1395,,02-Jun-95,Transverse Mercator,9003,U.S. Survey Foot,9107,DMS,Greenwich,87deg 30min  0.000sec W,30deg  0min  0.000sec N,0.9999333,500000,0,,,,,,,,,,,,,,22,12,P0126
Alabama CS83 East zone,Alabama East,10131,United States - Alabama - Counties east of 86d 37m West,NOAA manual NOS NGS 5,,02-Jun-95,Transverse Mercator,9001,metre,9107,DMS,Greenwich,85deg 50min  0.000sec W,30deg 30min  0.000sec N,0.9999600,200000,0,,,,,,,,,,,,,,22,12,P0127
Alabama CS83 West zone,Alabama West,10132,United States - Alabama - Counties east of 86d 37m West,NOAA manual NOS NGS 5,,02-Jun-95,Transverse Mercator,9001,metre,9107,DMS,Greenwich,87deg 30min  0.000sec W,30deg  0min  0.000sec N,0.9999333,600000,0,,,,,,,,,,,,,,22,12,P0128
Alaska CS27 zone 1,Alaska zone 1,15001,United States - Alaska - east of 141 deg. West; i.e. Panhandle,USGS Professional Paper #1395,,02-Jun-95,Hotine Oblique Mercator,9003,U.S. Survey Foot,9107,DMS,Greenwich,,,,,,,,,,,,57deg  0min  0.000sec N,133deg  40min  0.000sec W,5000000,-5000000,323deg  7min  48.368sec,0.9999000,,18,13,P0129
Alaska CS27 zone 2,Alaska zone 2,15002,United States - Alaska - 141deg. to 144deg. West,USGS Professional Paper #1395,,02-Jun-95,Transverse Mercator,9003,U.S. Survey Foot,9107,DMS,Greenwich,142deg  0min  0.000sec W,54deg  0min  0.000sec N,0.9999000,500000,0,,,,,,,,,,,,,,18,13,P0130
Alaska CS27 zone 3,Alaska zone 3,15003,United States - Alaska - 144deg. to 148deg. West excluding Kenai Peninsula; Perry Is. and Esther Is.,USGS Professional Paper #1395,,02-Jun-95,Transverse Mercator,9003,U.S. Survey Foot,9107,DMS,Greenwich,146deg  0min  0.000sec W,54deg  0min  0.000sec N,0.9999000,500000,0,,,,,,,,,,,,,,18,13,P0131
Alaska CS27 zone 4,Alaska zone 4,15004,United States - Alaska - 148deg. to 152deg. West,USGS Professional Paper #1395,,02-Jun-95,Transverse Mercator,9003,U.S. Survey Foot,9107,DMS,Greenwich,150deg  0min  0.000sec W,54deg  0min  0.000sec N,0.9999000,500000,0,,,,,,,,,,,,,,18,13,P0132
Alaska CS27 zone 5,Alaska zone 5,15005,United States - Alaska - 152deg. to 156deg. West,USGS Professional Paper #1395,,02-Jun-95,Transverse Mercator,9003,U.S. Survey Foot,9107,DMS,Greenwich,154deg  0min  0.000sec W,54deg  0min  0.000sec N,0.9999000,500000,0,,,,,,,,,,,,,,18,13,P0133
Alaska CS27 zone 6,Alaska zone 6,15006,United States - Alaska - 156deg. to 160deg. West,USGS Professional Paper #1395,,02-Jun-95,Transverse Mercator,9003,U.S. Survey Foot,9107,DMS,Greenwich,158deg  0min  0.000sec W,54deg  0min  0.000sec N,0.9999000,500000,0,,,,,,,,,,,,,,18,13,P0134
Alaska CS27 zone 7,Alaska zone 7,15007,United States - Alaska - 160deg. to 164deg. West,USGS Professional Paper #1395,,02-Jun-95,Transverse Mercator,9003,U.S. Survey Foot,9107,DMS,Greenwich,162deg  0min  0.000sec W,54deg  0min  0.000sec N,0.9999000,700000,0,,,,,,,,,,,,,,18,13,P0135
Alaska CS27 zone 8,Alaska zone 8,15008,United States - Alaska - 164deg. to 168deg. West north of 54d 30m North,USGS Professional Paper #1395,,02-Jun-95,Transverse Mercator,9003,U.S. Survey Foot,9107,DMS,Greenwich,166deg  0min  0.000sec W,54deg  0min  0.000sec N,0.9999000,500000,0,,,,,,,,,,,,,,18,13,P0136
Alaska CS27 zone 9,Alaska zone 9,15009,United States - Alaska - west of 168deg. West and north of 54d 30m North,USGS Professional Paper #1395,,02-Jun-95,Transverse Mercator,9003,U.S. Survey Foot,9107,DMS,Greenwich,170deg  0min  0.000sec W,54deg  0min  0.000sec N,0.9999000,600000,0,,,,,,,,,,,,,,18,13,P0137
Alaska CS27 zone 10,Alaska zone 10,15010,United States - Alaska - Aleutian Islands,USGS Professional Paper #1395,,02-Jun-95,Lambert Conic Conformal (2SP),9003,U.S. Survey Foot,9107,DMS,Greenwich,176deg  0min  0.000sec W,,,,,53deg 50min  0.000sec N,51deg 50min  0.000sec N,51deg  0min  0.000sec N,176deg  0min  0.000sec W,3000000,0,,,,,,,,19,14,P0138
Alaska CS83 zone 1,Alaska zone 1,15031,United States - Alaska - east of 141 deg. West; i.e. Panhandle,NOAA manual NOS NGS 5,,02-Jun-95,Hotine Oblique Mercator,9001,metre,9107,DMS,Greenwich,,,,,,,,,,,,57deg  0min  0.000sec N,133deg  40min  0.000sec W,5000000,-5000000,323deg  7min  48.368sec,0.9999000,,18,13,P0139
Alaska CS83 zone 2,Alaska zone 2,15032,United States - Alaska - 141deg. to 144deg. West,NOAA manual NOS NGS 5,,02-Jun-95,Transverse Mercator,9001,metre,9107,DMS,Greenwich,142deg  0min  0.000sec W,54deg  0min  0.000sec N,0.9999000,500000,0,,,,,,,,,,,,,,18,13,P0140
Alaska CS83 zone 3,Alaska zone 3,15033,United States - Alaska - 144deg. to 148deg. West excluding Kenai Peninsula; Perry Is. and Esther Is.,NOAA manual NOS NGS 5,,02-Jun-95,Transverse Mercator,9001,metre,9107,DMS,Greenwich,146deg  0min  0.000sec W,54deg  0min  0.000sec N,0.9999000,500000,0,,,,,,,,,,,,,,18,13,P0141
Alaska CS83 zone 4,Alaska zone 4,15034,United States - Alaska - 148deg. to 152deg. West,NOAA manual NOS NGS 5,,02-Jun-95,Transverse Mercator,9001,metre,9107,DMS,Greenwich,150deg  0min  0.000sec W,54deg  0min  0.000sec N,0.9999000,500000,0,,,,,,,,,,,,,,18,13,P0142
Alaska CS83 zone 5,Alaska zone 5,15035,United States - Alaska - 152deg. to 156deg. West,NOAA manual NOS NGS 5,,02-Jun-95,Transverse Mercator,9001,metre,9107,DMS,Greenwich,154deg  0min  0.000sec W,54deg  0min  0.000sec N,0.9999000,500000,0,,,,,,,,,,,,,,18,13,P0143
Alaska CS83 zone 6,Alaska zone 6,15036,United States - Alaska - 156deg. to 160deg. West,NOAA manual NOS NGS 5,,02-Jun-95,Transverse Mercator,9001,metre,9107,DMS,Greenwich,158deg  0min  0.000sec W,54deg  0min  0.000sec N,0.9999000,500000,0,,,,,,,,,,,,,,18,13,P0144
Alaska CS83 zone 7,Alaska zone 7,15037,United States - Alaska - 160deg. to 164deg. West,NOAA manual NOS NGS 5,,02-Jun-95,Transverse Mercator,9001,metre,9107,DMS,Greenwich,162deg  0min  0.000sec W,54deg  0min  0.000sec N,0.9999000,500000,0,,,,,,,,,,,,,,18,13,P0145
Alaska CS83 zone 8,Alaska zone 8,15038,United States - Alaska - 164deg. to 168deg. West north of 54d 30m North,NOAA manual NOS NGS 5,,02-Jun-95,Transverse Mercator,9001,metre,9107,DMS,Greenwich,166deg  0min  0.000sec W,54deg  0min  0.000sec N,0.9999000,500000,0,,,,,,,,,,,,,,18,13,P0146
Alaska CS83 zone 9,Alaska zone 9,15039,United States - Alaska - west of 168deg. West and north of 54d 30m North,NOAA manual NOS NGS 5,,02-Jun-95,Transverse Mercator,9001,metre,9107,DMS,Greenwich,170deg  0min  0.000sec W,54deg  0min  0.000sec N,0.9999000,500000,0,,,,,,,,,,,,,,18,13,P0147
Alaska CS83 zone 10,Alaska zone 10,15040,United States - Alaska - Aleutian Islands,NOAA manual NOS NGS 5,,02-Jun-95,Lambert Conic Conformal (2SP),9001,metre,9107,DMS,Greenwich,176deg  0min  0.000sec W,,,,,53deg 50min  0.000sec N,51deg 50min  0.000sec N,51deg  0min  0.000sec N,176deg  0min  0.000sec W,1000000,0,,,,,,,,19,14,P0148
Arizona Coordinate System  east zone,Arizona East ,10201,United States - Arizona - Apache; Cochise; Gila; Graham; Greenlee and Navajo counties; i.e. east of about 110d 45m West,USGS Professional Paper #1395,,02-Jun-95,Transverse Mercator,9003,U.S. Survey Foot,9107,DMS,Greenwich,110deg 10min  0.000sec W,31deg  0min  0.000sec N,0.9999000,500000,0,,,,,,,,,,,,,,abbr req (36),13,P0153
Arizona Coordinate System Central zone,Arizona Central,10202,United States - Arizona - Coconino; Maricopa; Pima; Pinal; Santa Cruz and Yavapai counties; i.e between about 110d 45m & 113d 20m west,USGS Professional Paper #1395,,02-Jun-95,Transverse Mercator,9003,U.S. Survey Foot,9107,DMS,Greenwich,111deg 55min  0.000sec W,31deg  0min  0.000sec N,0.9999000,500000,0,,,,,,,,,,,,,,abbr req (38),15,P0154
Arizona Coordinate System  west zone,Arizona West ,10203,United States - Arizona - La Paz; Mohave and Yuma counties; i.e west of about 113d 20m,USGS Professional Paper #1395,,02-Jun-95,Transverse Mercator,9003,U.S. Survey Foot,9107,DMS,Greenwich,113deg 45min  0.000sec W,31deg  0min  0.000sec N,0.9999333,500000,0,,,,,,,,,,,,,,abbr req (36),13,P0155
Arizona CS83  east zone,Arizona  East,10231,United States - Arizona - counties east of 110d 45m West,NOAA manual NOS NGS 5,State law defines origin in International feet. FE = 700000ft.,02-Jun-95,Transverse Mercator,9001,metre,9107,DMS,Greenwich,110deg 10min  0.000sec W,31deg  0min  0.000sec N,0.9999000,213360,0,,,,,,,,,,,,,,23,13,P0156
Arizona CS83 Central zone,Arizona Central,10232,United States - Arizona - Coconino; Maricopa; Pima; Pinal; Santa Cruz and Yavapai counties; i.e between about 110d 45m & 113d 20m west,NOAA manual NOS NGS 5,State law defines origin in International feet. FE = 700000ft.,02-Jun-95,Transverse Mercator,9001,metre,9107,DMS,Greenwich,111deg 55min  0.000sec W,31deg  0min  0.000sec N,0.9999000,213360,0,,,,,,,,,,,,,,abbr req (25),15,P0157
Arizona CS83  west zone,Arizona West,10233,United States - Arizona - La Paz; Mohave and Yuma counties; i.e west of about 113d 20m,NOAA manual NOS NGS 5,State law defines origin in International feet. FE = 700000ft.,02-Jun-95,Transverse Mercator,9001,metre,9107,DMS,Greenwich,113deg 45min  0.000sec W,31deg  0min  0.000sec N,0.9999333,213360,0,,,,,,,,,,,,,,23,12,P0158
Arkansas CS27 North,Arkansas North,10301,United States - Arkansas - counties north of 34d 50m North.,USGS Professional Paper #1395,,02-Jun-95,Lambert Conic Conformal (2SP),9003,U.S. Survey Foot,9107,DMS,Greenwich,92deg  0min  0.000sec W,,,,,36deg 14min  0.000sec N,34deg 56min  0.000sec N,34deg 20min  0.000sec N,92deg  0min  0.000sec W,2000000,0,,,,,,,,19,14,P0149
Arkansas CS27 South,Arkansas South,10302,United States - Arkansas - counties south of 34d 50m North.,USGS Professional Paper #1395,,02-Jun-95,Lambert Conic Conformal (2SP),9003,U.S. Survey Foot,9107,DMS,Greenwich,92deg  0min  0.000sec W,,,,,34deg 46min  0.000sec N,33deg 18min  0.000sec N,32deg 40min  0.000sec N,92deg  0min  0.000sec W,2000000,0,,,,,,,,19,14,P0150
Arkansas CS83 North zone,Arkansas North,10331,United States - Arkansas - counties north of 34d 50m North.,NOAA manual NOS NGS 5,,02-Jun-95,Lambert Conic Conformal (2SP),9001,metre,9107,DMS,Greenwich,92deg  0min  0.000sec W,,,,,36deg 14min  0.000sec N,34deg 56min  0.000sec N,34deg 20min  0.000sec N,92deg  0min  0.000sec W,400000,0,,,,,,,,24,14,P0151
Arkansas CS83 South zone,Arkansas South,10332,United States - Arkansas - counties south of 34d 50m North.,NOAA manual NOS NGS 5,,02-Jun-95,Lambert Conic Conformal (2SP),9001,metre,9107,DMS,Greenwich,92deg  0min  0.000sec W,,,,,34deg 46min  0.000sec N,33deg 18min  0.000sec N,32deg 40min  0.000sec N,92deg  0min  0.000sec W,400000,400000,,,,,,,,24,14,P0152
California CS27 zone I,California zone I,10401,United States - California - counties north of 40deg North.,USGS Professional Paper #1395,,02-Jun-95,Lambert Conic Conformal (2SP),9003,U.S. Survey Foot,9107,DMS,Greenwich,122deg  0min  0.000sec W,,,,,41deg 40min  0.000sec N,40deg  0min  0.000sec N,39deg 20min  0.000sec N,122deg  0min  0.000sec W,2000000,0,,,,,,,,22,17,P0159
California CS27 zone II,California zone II,10402,United States - California - counties between 40d & 38d 15m North.,USGS Professional Paper #1395,,02-Jun-95,Lambert Conic Conformal (2SP),9003,U.S. Survey Foot,9107,DMS,Greenwich,122deg  0min  0.000sec W,,,,,39deg 50min  0.000sec N,38deg 20min  0.000sec N,37deg 40min  0.000sec N,122deg  0min  0.000sec W,2000000,0,,,,,,,,23,18,P0160
California CS27 zone III,California zone III,10403,United States - California - counties between 38d 15m & 37d North.,USGS Professional Paper #1395,,02-Jun-95,Lambert Conic Conformal (2SP),9003,U.S. Survey Foot,9107,DMS,Greenwich,120deg 30min  0.000sec W,,,,,38deg 26min  0.000sec N,37deg  4min  0.000sec N,36deg 30min  0.000sec N,120deg 30min  0.000sec W,2000000,0,,,,,,,,24,19,P0161
California CS27 zone IV,California zone IV,10404,United States - California - counties between 37d & 35d 30m North.,USGS Professional Paper #1395,,02-Jun-95,Lambert Conic Conformal (2SP),9003,U.S. Survey Foot,9107,DMS,Greenwich,119deg  0min  0.000sec W,,,,,37deg 15min  0.000sec N,36deg  0min  0.000sec N,35deg 20min  0.000sec N,119deg  0min  0.000sec W,2000000,0,,,,,,,,23,18,P0162
California CS27 zone V,California zone V,10405,United States - California - counties between 35d 50m & 34d North.,USGS Professional Paper #1395,,02-Jun-95,Lambert Conic Conformal (2SP),9003,U.S. Survey Foot,9107,DMS,Greenwich,118deg  0min  0.000sec W,,,,,35deg 28min  0.000sec N,34deg  2min  0.000sec N,33deg 30min  0.000sec N,118deg  0min  0.000sec W,2000000,0,,,,,,,,22,17,P0163
California CS27 zone VI,California zone VI,10406,United States - California - counties south of 34deg North.,USGS Professional Paper #1395,,02-Jun-95,Lambert Conic Conformal (2SP),9003,U.S. Survey Foot,9107,DMS,Greenwich,116deg 15min  0.000sec W,,,,,33deg 53min  0.000sec N,32deg 47min  0.000sec N,32deg 10min  0.000sec N,116deg 15min  0.000sec W,2000000,0,,,,,,,,23,18,P0164
California CS27 zone VII,California zone VII,10407,United States - California - Los Angeles.,USGS Professional Paper #1395,,02-Jun-95,Lambert Conic Conformal (2SP),9003,U.S. Survey Foot,9107,DMS,Greenwich,118deg 20min  0.000sec W,,,,,34deg 25min  0.000sec N,33deg 52min  0.000sec N,34deg  8min  0.000sec N,118deg 20min  0.000sec W,4186692.58,416926.74,,,,,,,,24,19,P0165
California CS83 zone 1,California zone 1,10431,United States - California - counties north of 40deg North.,NOAA manual NOS NGS 5,,02-Jun-95,Lambert Conic Conformal (2SP),9001,metre,9107,DMS,Greenwich,122deg  0min  0.000sec W,,,,,41deg 40min  0.000sec N,40deg  0min  0.000sec N,39deg 20min  0.000sec N,122deg  0min  0.000sec W,2000000,500000,,,,,,,,22,17,P0166
California CS83 zone 2,California zone 2,10432,United States - California - counties between 40d & 38d 15m North.,NOAA manual NOS NGS 5,,02-Jun-95,Lambert Conic Conformal (2SP),9001,metre,9107,DMS,Greenwich,122deg  0min  0.000sec W,,,,,39deg 50min  0.000sec N,38deg 20min  0.000sec N,37deg 40min  0.000sec N,122deg  0min  0.000sec W,2000000,500000,,,,,,,,22,17,P0167
California CS83 zone 3,California zone 3,10433,United States - California - counties between 38d 15m & 37d North.,NOAA manual NOS NGS 5,,02-Jun-95,Lambert Conic Conformal (2SP),9001,metre,9107,DMS,Greenwich,120deg 30min  0.000sec W,,,,,38deg 26min  0.000sec N,37deg  4min  0.000sec N,36deg 30min  0.000sec N,120deg 30min  0.000sec W,2000000,500000,,,,,,,,22,17,P0168
California CS83 zone 4,California zone 4,10434,United States - California - counties between 37d & 35d 30m North.,NOAA manual NOS NGS 5,,02-Jun-95,Lambert Conic Conformal (2SP),9001,metre,9107,DMS,Greenwich,119deg  0min  0.000sec W,,,,,37deg 15min  0.000sec N,36deg  0min  0.000sec N,35deg 20min  0.000sec N,119deg  0min  0.000sec W,2000000,500000,,,,,,,,22,17,P0169
California CS83 zone 5,California zone 5,10435,United States - California - counties between 35d 50m & 34d North.,NOAA manual NOS NGS 5,,02-Jun-95,Lambert Conic Conformal (2SP),9001,metre,9107,DMS,Greenwich,118deg  0min  0.000sec W,,,,,35deg 28min  0.000sec N,34deg  2min  0.000sec N,33deg 30min  0.000sec N,118deg  0min  0.000sec W,2000000,500000,,,,,,,,22,17,P0170
