Projected,Projected,,Area of Use,Revision,Geog.,Map,Geographic,Map Projection,Map Projection,Information,Remarks,PCS,PCS
Coordinate System,Coordinate System,PCS,,Date,C.S.,Projn.,C.S.,Zone,Zone,Source,,Name,Abbr
Name,Abbreviation,Code,,,Code,Code,Name,,Abbreviation,,,Length,Length

NAD27 / South Dakota South,NAD27 / South Dakota S,32035,United States - South Dakota - counties south of 44d 20m North.,02-Jun-95,4267,14002,NAD27,South Dakota CS27 South zone,South Dakota South,,,abbr req (26),22
NAD27 / Tennessee ,,32036,United States - Tennessee,02-Jun-95,4267,14100,NAD27,Tennessee CS27,Tennessee ,,,18,0
NAD27 / Texas North,,32037,United States - Texas - counties north of 34d 20m North.,02-Jun-95,4267,14201,NAD27,Texas CS27 North zone,Texas North,,,19,0
NAD27 / Texas North Central,NAD27 / Texas North Cen.,32038,United States - Texas - counties between 34d 20m & 32deg North.,02-Jun-95,4267,14202,NAD27,Texas CS27 North Central zone,Texas North Central,,,abbr req (27),24
NAD27 / Texas Central,,32039,United States - Texas - counties between 32deg & 30d 10m North.,02-Jun-95,4267,14203,NAD27,Texas CS27 Central zone,Texas Central,,,21,0
NAD27 / Texas South Central,NAD27 / Texas South Cen.,32040,United States - Texas - counties between 30d 10m & 28d 05m North.  Also Gulf of Mexico northern part of Texas shelf.,02-Jun-95,4267,14204,NAD27,Texas CS27 South Central zone,Texas South Central,,,abbr req (27),24
NAD27 / Texas South,,32041,United States - Texas - counties south of 28d 05m North.                       Also Gulf of Mexico southern part of Texas shelf.,02-Jun-95,4267,14205,NAD27,Texas CS27 South zone,Texas South,,,19,0
NAD27 / Utah North,,32042,United States - Utah - counties north of 40d 50m North.,02-Jun-95,4267,14301,NAD27,Utah CS27 North zone,Utah North,,,18,0
NAD27 / Utah Central,,32043,United States - Utah - counties between 40d 50m & 38d 30m North.,02-Jun-95,4267,14302,NAD27,Utah CS27 Central zone,Utah Central,,,20,0
NAD27 / Utah South,,32044,United States - Utah - counties south of 38d 30m North.,02-Jun-95,4267,14303,NAD27,Utah CS27 South zone,Utah South,,,18,0
NAD27 / Vermont ,,32045,United States - Vermont,02-Jun-95,4267,14400,NAD27,Vermont CS27,Vermont ,,,16,0
NAD27 / Virginia North,,32046,United States - Virginia - counties north of 38d 05m North.,02-Jun-95,4267,14501,NAD27,Virginia CS27 North zone,Virginia North,,,22,0
NAD27 / Virginia South,,32047,United States - Virginia - counties south of 38d 05m North.,02-Jun-95,4267,14502,NAD27,Virginia CS27 South zone,Virginia South,,,22,0
NAD27 / Washington North,,32048,United States - Washington - counties north of 47d 30m North.,02-Jun-95,4267,14601,NAD27,Washington CS27 North zone,Washington North,,,24,0
NAD27 / Washington South,,32049,United States - Washington - counties south of 47d 30m North.,02-Jun-95,4267,14602,NAD27,Washington CS27 South zone,Washington South,,,24,0
NAD27 / West Virginia North,NAD27 / West Virginia N,32050,United States - West Virginia - counties north of 39deg North.,02-Jun-95,4267,14701,NAD27,West Virginia CS27 North zone,West Virginia North,,,abbr req (27),23
NAD27 / West Virginia South,NAD27 / West Virginia S,32051,United States - West Virginia - counties south of 39deg North.,02-Jun-95,4267,14702,NAD27,West Virginia CS27 South zone,West Virginia South,,,abbr req (27),23
NAD27 / Wisconsin North,,32052,United States - Wisconsin - counties north of 45d 35mm North.,02-Jun-95,4267,14801,NAD27,Wisconsin CS27 North zone,Wisconsin North,,,23,0
NAD27 / Wisconsin Central,NAD27 / Wisconsin Cen.,32053,United States - Wisconsin - counties between 45d 35mm & 44d 15m North.,02-Jun-95,4267,14802,NAD27,Wisconsin CS27 Central zone,Wisconsin Central,,,abbr req (25),22
NAD27 / Wisconsin South,,32054,United States - Wisconsin - counties south of 44d 15m North.,02-Jun-95,4267,14803,NAD27,Wisconsin CS27 South zone,Wisconsin South,,,23,0
NAD27 / Wyoming East ,,32055,United States - Wyoming - counties east of 106d West.,02-Jun-95,4267,14901,NAD27,Wyoming CS27 East zone ,Wyoming East ,,,21,0
NAD27 / Wyoming East Central ,NAD27 / Wyoming E. Cen.,32056,United States - Wyoming - counties between 106d & 108d 10m West.,02-Jun-95,4267,14902,NAD27,Wyoming CS27 East Central zone ,Wyoming East Central ,,,abbr req (29),23
NAD27 / Wyoming West Central ,NAD27 / Wyoming W. Cen.,32057,United States - Wyoming - counties between 108d 10m & 109d 40m West.,02-Jun-95,4267,14903,NAD27,Wyoming CS27 West Central zone ,Wyoming West Central ,,,abbr req (29),23
NAD27 / Wyoming West ,,32058,United States - Wyoming - counties west of 109d 40m West.,02-Jun-95,4267,14904,NAD27,Wyoming CS27 West zone ,Wyoming West ,,,21,0
NAD27 / Puerto Rico ,,32059,Puerto Rico,02-Jun-95,4267,15201,NAD27,Puerto Rico CS27,Puerto Rico ,,,20,0
NAD27 / St. Croix ,,32060,U.S. Virgin Islands,02-Jun-95,4267,15202,NAD27,St. Croix CS27,St. Croix ,,,18,0
NAD83 / UTM zone 3N,,26903,North America - 168deg West to 162deg West,02-Jun-95,4269,16003,NAD83,UTM zone 3N,,,,19,0
NAD83 / UTM zone 4N,,26904,North America - 162deg West to 156deg West,02-Jun-95,4269,16004,NAD83,UTM zone 4N,,,,19,0
NAD83 / UTM zone 5N,,26905,North America - 156deg West to 150deg West,02-Jun-95,4269,16005,NAD83,UTM zone 5N,,,,19,0
NAD83 / UTM zone 6N,,26906,North America - 150deg West to 144deg West,02-Jun-95,4269,16006,NAD83,UTM zone 6N,,,,19,0
NAD83 / UTM zone 7N,,26907,North America - 144deg West to 138deg West,02-Jun-95,4269,16007,NAD83,UTM zone 7N,,,,19,0
NAD83 / UTM zone 8N,,26908,North America - 138deg West to 132deg West,02-Jun-95,4269,16008,NAD83,UTM zone 8N,,,,19,0
NAD83 / UTM zone 9N,,26909,North America - 132deg West to 126deg West,02-Jun-95,4269,16009,NAD83,UTM zone 9N,,,,19,0
NAD83 / UTM zone 10N,,26910,North America - 130deg West to 120deg West,02-Jun-95,4269,16010,NAD83,UTM zone 10N,,,,20,0
NAD83 / UTM zone 11N,,26911,North America - 120deg West to 114deg West,02-Jun-95,4269,16011,NAD83,UTM zone 11N,,,,20,0
NAD83 / UTM zone 12N,,26912,North America - 114deg West to 108deg West,02-Jun-95,4269,16012,NAD83,UTM zone 12N,,,,20,0
NAD83 / UTM zone 13N,,26913,North America - 108deg West to 102deg West,02-Jun-95,4269,16013,NAD83,UTM zone 13N,,,,20,0
NAD83 / UTM zone 14N,,26914,North America - 102deg West to 96deg West,02-Jun-95,4269,16014,NAD83,UTM zone 14N,,,,20,0
NAD83 / UTM zone 15N,,26915,North America - 96deg West to 90deg West,02-Jun-95,4269,16015,NAD83,UTM zone 15N,,,,20,0
NAD83 / UTM zone 16N,,26916,North America - 90deg West to 84deg West,02-Jun-95,4269,16016,NAD83,UTM zone 16N,,,,20,0
NAD83 / UTM zone 17N,,26917,North America - 84deg West to 78deg West,02-Jun-95,4269,16017,NAD83,UTM zone 17N,,,,20,0
NAD83 / UTM zone 18N,,26918,North America - 78deg West to 72deg West,02-Jun-95,4269,16018,NAD83,UTM zone 18N,,,,20,0
NAD83 / UTM zone 19N,,26919,North America - 72deg West to 66deg West,02-Jun-95,4269,16019,NAD83,UTM zone 19N,,,,20,0
NAD83 / UTM zone 20N,,26920,North America - 66deg West to 60deg West,02-Jun-95,4269,16020,NAD83,UTM zone 20N,,,,20,0
NAD83 / UTM zone 21N,,26921,North America - 60deg West to 54deg West,02-Jun-95,4269,16021,NAD83,UTM zone 21N,,,,20,0
NAD83 / UTM zone 22N,,26922,North America - 54deg West to 48deg West,02-Jun-95,4269,16022,NAD83,UTM zone 22N,,,,20,0
NAD83 / UTM zone 23N,,26923,North America - 48deg West to 42deg West,02-Jun-95,4269,16023,NAD83,UTM zone 23N,,,,20,0
NAD83 / Alabama East,,26929,United States - Alabama - Counties east of 86d 37m West,02-Jun-95,4269,10131,NAD83,Alabama CS83 East zone,Alabama East,,,20,0
NAD83 / Alabama West,,26930,United States - Alabama - Counties east of 86d 37m West,02-Jun-95,4269,10132,NAD83,Alabama CS83 West zone,Alabama West,,,20,0
NAD83 / Alaska zone 1,,26931,United States - Alaska - Panhandle,02-Jun-95,4269,15031,NAD83,Alaska CS83 zone 1,Alaska zone 1,,,21,0
NAD83 / Alaska zone 2,,26932,United States - Alaska - 141deg. to 144deg. West,02-Jun-95,4269,15032,NAD83,Alaska CS83 zone 2,Alaska zone 2,,,21,0
NAD83 / Alaska zone 3,,26933,United States - Alaska - 144deg. to 148deg. West,02-Jun-95,4269,15033,NAD83,Alaska CS83 zone 3,Alaska zone 3,,,21,0
NAD83 / Alaska zone 4,,26934,United States - Alaska - 148deg. to 152deg. West,02-Jun-95,4269,15034,NAD83,Alaska CS83 zone 4,Alaska zone 4,,,21,0
NAD83 / Alaska zone 5,,26935,United States - Alaska - 152deg. to 156deg. West,02-Jun-95,4269,15035,NAD83,Alaska CS83 zone 5,Alaska zone 5,,,21,0
NAD83 / Alaska zone 6,,26936,United States - Alaska - 156deg. to 160deg. West,02-Jun-95,4269,15036,NAD83,Alaska CS83 zone 6,Alaska zone 6,,,21,0
NAD83 / Alaska zone 7,,26937,United States - Alaska - 160deg. to 164deg. West,02-Jun-95,4269,15037,NAD83,Alaska CS83 zone 7,Alaska zone 7,,,21,0
NAD83 / Alaska zone 8,,26938,United States - Alaska - 164deg. to 168deg. West north of 54d 30m North,02-Jun-95,4269,15038,NAD83,Alaska CS83 zone 8,Alaska zone 8,,,21,0
NAD83 / Alaska zone 9,,26939,United States - Alaska - west of 168deg. West and north of 54d 30m North,02-Jun-95,4269,15039,NAD83,Alaska CS83 zone 9,Alaska zone 9,,,21,0
NAD83 / Alaska zone 10,,26940,United States - Alaska -Aleutian Islands,02-Jun-95,4269,15040,NAD83,Alaska CS83 zone 10,Alaska zone 10,,,22,0
NAD83 / Arizona  East,,26948,United States - Arizona - counties east of 110d 45m West,02-Jun-95,4269,10231,NAD83,Arizona CS83  east zone,Arizona  East,,,21,0
NAD83 / Arizona Central,,26949,United States - Arizona - counties between 110d 45m & 113d 20m west,02-Jun-95,4269,10232,NAD83,Arizona CS83 Central zone,Arizona Central,,,23,0
NAD83 / Arizona West,,26950,United States - Arizona - counties west of 113d 20m West,02-Jun-95,4269,10233,NAD83,Arizona CS83  west zone,Arizona West,,,20,0
NAD83 / Arkansas North,,26951,United States - Arkansas - counties north of 34d 50m North.,02-Jun-95,4269,10331,NAD83,Arkansas CS83 North zone,Arkansas North,,,22,0
NAD83 / Arkansas South,,26952,United States - Arkansas - counties south of 34d 50m North.,02-Jun-95,4269,10332,NAD83,Arkansas CS83 South zone,Arkansas South,,,22,0
NAD83 / California zone 1,NAD83 / California 1,26941,United States - California - counties north of 40deg North.,02-Jun-95,4269,10431,NAD83,California CS83 zone 1,California zone 1,,,abbr req (25),20
NAD83 / California zone 2,NAD83 / California 2,26942,United States - California - counties between 40d & 38d 15m North.,02-Jun-95,4269,10432,NAD83,California CS83 zone 2,California zone 2,,,abbr req (25),20
NAD83 / California zone 3,NAD83 / California 3,26943,United States - California - counties between 38d 15m & 37d North.,02-Jun-95,4269,10433,NAD83,California CS83 zone 3,California zone 3,,,abbr req (25),20
NAD83 / California zone 4,NAD83 / California 4,26944,United States - California - counties between 37d & 35d 30m North.,02-Jun-95,4269,10434,NAD83,California CS83 zone 4,California zone 4,,,abbr req (25),20
NAD83 / California zone 5,NAD83 / California 5,26945,United States - California - counties between 35d 50m & 34d North.,02-Jun-95,4269,10435,NAD83,California CS83 zone 5,California zone 5,,,abbr req (25),20
NAD83 / California zone 6,NAD83 / California 6,26946,United States - California - counties south of 34deg North.,02-Jun-95,4269,10436,NAD83,California CS83 zone 6,California zone 6,,,abbr req (25),20
NAD83 / Colorado North,,26953,United States - Colorado - counties north of 39d 50m North.,02-Jun-95,4269,10531,NAD83,Colorado CS83 North zone,Colorado North,,,22,0
NAD83 / Colorado Central,,26954,United States - Colorado - counties between 39d 50m & 38d 30m North.,02-Jun-95,4269,10532,NAD83,Colorado CS83 Central zone,Colorado Central,,,24,0
NAD83 / Colorado South,,26955,United States - Colorado - counties south of 38d 30m North.,02-Jun-95,4269,10533,NAD83,Colorado CS83 South zone,Colorado South,,,22,0
NAD83 / Connecticut ,,26956,United States - Connecticut,02-Jun-95,4269,10630,NAD83,Connecticut CS83,Connecticut ,,,20,0
NAD83 / Delaware ,,26957,United States - Delaware,02-Jun-95,4269,10730,NAD83,Delaware CS83,Delaware ,,,17,0
NAD83 / Florida  East,,26958,United States - Florida - counties east of 81d 45m West,02-Jun-95,4269,10931,NAD83,Florida CS83 East zone,Florida  East,,,21,0
NAD83 / Florida  West,,26959,United States - Florida - counties west of 81d 45m West & south of 29d 30m North,02-Jun-95,4269,10932,NAD83,Florida CS83 West zone,Florida  West,,,21,0
NAD83 / Florida North,,26960,United States - Florida - north of 29d 30m North & west of 82d West,02-Jun-95,4269,10933,NAD83,Florida CS83 North zone,Florida North,,,21,0
NAD83 / Georgia  East,,26966,United States - Georgia - counties east of 83d 15m West,02-Jun-95,4269,11031,NAD83,Georgia CS83 East zone,Georgia  East,,,21,0
NAD83 / Georgia West,,26967,United States - Georgia - counties west of 83d 15m West,02-Jun-95,4269,11032,NAD83,Georgia CS83 West zone,Georgia West,,,20,0
NAD83 / Hawaii  zone 1,,26961,United States - Hawaii - island of Hawaii,02-Jun-95,4269,15131,NAD83,Hawaii CS83 zone 1,Hawaii  zone 1,,,22,0
NAD83 / Hawaii  zone 2,,26962,United States - Hawaii - Maui; Kahoolawe; Lanai; Molokai,02-Jun-95,4269,15132,NAD83,Hawaii CS83 zone 2,Hawaii  zone 2,,,22,0
NAD83 / Hawaii  zone 3,,26963,United States - Hawaii - Oahu,02-Jun-95,4269,15133,NAD83,Hawaii CS83 zone 3,Hawaii  zone 3,,,22,0
NAD83 / Hawaii  zone 4,,26964,United States - Hawaii - Kauai,02-Jun-95,4269,15134,NAD83,Hawaii CS83 zone 4,Hawaii  zone 4,,,22,0
NAD83 / Hawaii  zone 5,,26965,United States - Hawaii - Niihau,02-Jun-95,4269,15135,NAD83,Hawaii CS83 zone 5,Hawaii  zone 5,,,22,0
NAD83 / Idaho  East,,26968,United States - Idaho - counties east of 113d West,02-Jun-95,4269,11131,NAD83,Idaho CS83 East zone,Idaho  East,,,19,0
NAD83 / Idaho  Central,,26969,United States - Idaho - counties between 113d & 115d West,02-Jun-95,4269,11132,NAD83,Idaho CS83 Central zone,Idaho  Central,,,22,0
NAD83 / Idaho  West,,26970,United States - Idaho - counties west of 115d West,02-Jun-95,4269,11133,NAD83,Idaho CS83 West zone,Idaho  West,,,19,0
NAD83 / Illinois  East,,26971,United States - Illinois - counties east of 89d 05m West,02-Jun-95,4269,11231,NAD83,Illinois CS83 East zone,Illinois  East,,,22,0
NAD83 / Illinois  West,,26972,United States - Illinois - counties west of 89d 05m West,02-Jun-95,4269,11232,NAD83,Illinois CS83 West zone,Illinois  West,,,22,0
NAD83 / Indiana  East,,26973,United States - Indiana - counties east of 86d 25m West,02-Jun-95,4269,11331,NAD83,Indiana CS83 East zone,Indiana  East,,,21,0
NAD83 / Indiana  West,,26974,United States - Indiana - counties west of 86d 25m West,02-Jun-95,4269,11332,NAD83,Indiana CS83 West zone,Indiana  West,,,21,0
NAD83 / Iowa North,,26975,United States - Iowa - counties north of 42deg North.,02-Jun-95,4269,11431,NAD83,Iowa CS83 North zone,Iowa North,,,18,0
NAD83 / Iowa South,,26976,United States - Iowa - counties south of 42deg North.,02-Jun-95,4269,11432,NAD83,Iowa CS83 South zone,Iowa South,,,18,0
NAD83 / Kansas North,,26977,United States - Kansas - counties north of 38d 45m North.,02-Jun-95,4269,11531,NAD83,Kansas CS83 North zone,Kansas North,,,20,0
NAD83 / Kansas South,,26978,United States - Kansas - counties south of 38d 45m North.,02-Jun-95,4269,11532,NAD83,Kansas CS83 South zone,Kansas South,,,20,0
NAD83 / Kentucky North,,26979,United States - Kentucky - counties north of 37d 55m North.,02-Jun-95,4269,11631,NAD83,Kentucky CS83 North zone,Kentucky North,,,22,0
NAD83 / Kentucky South,,26980,United States - Kentucky - counties south of 37d 55m North.,02-Jun-95,4269,11632,NAD83,Kentucky CS83 South zone,Kentucky South,,,22,0
NAD83 / Louisiana North,,26981,United States - Louisiana - counties north of 30d 55m North.,02-Jun-95,4269,11731,NAD83,Louisiana CS83 North zone,Louisiana North,,,23,0
NAD83 / Louisiana South,,26982,United States - Louisiana - counties south of 30d 55m North.,02-Jun-95,4269,11732,NAD83,Louisiana CS83 South zone,Louisiana South,,,23,0
NAD83 / Maine  East,,26983,United States - Maine - counties east of 69d 30m West,02-Jun-95,4269,11831,NAD83,Maine CS83 East zone,Maine  East,,,19,0
NAD83 / Maine  West,,26984,United States - Maine - counties west of 69d 30m West,02-Jun-95,4269,11832,NAD83,Maine CS83 West zone,Maine  West,,,19,0
NAD83 / Maryland ,,26985,United States - Maryland,02-Jun-95,4269,11930,NAD83,Maryland CS83,Maryland ,,,17,0
NAD83 / Massachusetts Mainland,NAD83 / Massachusetts,26986,United States - Massachusetts onshore,02-Jun-95,4269,12031,NAD83,Massachusetts CS83 Mainland zone,Massachusetts Mainland,,,abbr req (30),21
NAD83 / Massachusetts Island,NAD83 / Massachusetts Is,26987,United States - Massachusetts islands,02-Jun-95,4269,12032,NAD83,Massachusetts CS83 Island zone,Massachusetts Island,,,abbr req (28),24
NAD83 / Michigan North,,26988,United States - Michigan - counties north of 45d 45m North.,02-Jun-95,4269,12141,NAD83,Michigan CS83 North zone,Michigan North,,,22,0
NAD83 / Michigan Central,,26989,United States - Michigan - counties between 45d 45m & 43d 55m North.,02-Jun-95,4269,12142,NAD83,Michigan CS83 Central zone,Michigan Central,,,24,0
NAD83 / Michigan South,,26990,United States - Michigan - counties south of 43d 55m North.,02-Jun-95,4269,12143,NAD83,Michigan CS83 South zone,Michigan South,,,22,0
NAD83 / Minnesota North,,26991,United States - Minnesota - counties north of 47d 10m North.,02-Jun-95,4269,12231,NAD83,Minnesota CS83 North zone,Minnesota North,,,23,0
NAD83 / Minnesota Central,NAD83 / Minnesota Cent.,26992,United States - Minnesota - counties between 47d 10m & 45d 30m North.,02-Jun-95,4269,12232,NAD83,Minnesota CS83 Central zone,Minnesota Central,,,abbr req (25),23
NAD83 / Minnesota South,,26993,United States - Minnesota - counties south of 45d 30m North.,02-Jun-95,4269,12233,NAD83,Minnesota CS83 South zone,Minnesota South,,,23,0
NAD83 / Mississippi East,,26994,United States - Mississippi - counties east of 89d 40m West,02-Jun-95,4269,12331,NAD83,Mississippi CS83 East zone,Mississippi East,,,24,0
NAD83 / Mississippi West,,26995,United States - Mississippi - counties west of 89d 40m West,02-Jun-95,4269,12332,NAD83,Mississippi CS83 West zone,Mississippi West,,,24,0
NAD83 / Missouri  East,,26996,United States - Missouri - counties east of 91d 45m West,02-Jun-95,4269,12431,NAD83,Missouri CS83 East zone,Missouri  East,,,22,0
NAD83 / Missouri Central,,26997,United States - Missouri - counties between 91d 45m & 93d 35m West,02-Jun-95,4269,12432,NAD83,Missouri CS83 Central zone,Missouri Central,,,24,0
NAD83 / Missouri  West,,26998,United States - Missouri - counties west of 93d 35m West,02-Jun-95,4269,12433,NAD83,Missouri CS83 West zone,Missouri  West,,,22,0
NAD83 / Montana ,,32100,United States - Montana ,02-Jun-95,4269,12530,NAD83,Montana CS83,Montana ,,,16,0
NAD83 / Nebraska ,,32104,United States - Nebraska,02-Jun-95,4269,12630,NAD83,Nebraska CS83,Nebraska ,,,17,0
NAD83 / Nevada  East,,32107,United States - Nevada - counties east of 116d  West & Eureka county.,02-Jun-95,4269,12731,NAD83,Nevada CS83 East zone,Nevada  East,,,20,0
NAD83 / Nevada Central,,32108,United States - Nevada - Lander & Nye counties,02-Jun-95,4269,12732,NAD83,Nevada CS83 Central zone,Nevada Central,,,22,0
NAD83 / Nevada West,,32109,United States - Nevada - counties west of 117d 15m West,02-Jun-95,4269,12733,NAD83,Nevada CS83 West zone,Nevada West,,,19,0
NAD83 / New Hampshire ,,32110,United States - New Hampshire,02-Jun-95,4269,12830,NAD83,New Hampshire CS83,New Hampshire ,,,22,0
NAD83 / New Jersey ,,32111,United States - New Jersey,02-Jun-95,4269,12930,NAD83,New Jersey CS83,New Jersey ,,,19,0
NAD83 / New Mexico East,,32112,United States - New Mexico - counties east of 105d West.,02-Jun-95,4269,13031,NAD83,New Mexico CS83 East zone,New Mexico East,,,23,0
NAD83 / New Mexico Central,NAD83 / New Mexico Cent.,32113,United States - New Mexico - counties between 105d & 107d 15m West.,02-Jun-95,4269,13032,NAD83,New Mexico CS83 Central zone,New Mexico Central,,,abbr req (26),24
NAD83 / New Mexico West,,32114,United States - New Mexico - counties west of 107d 15m West.,02-Jun-95,4269,13033,NAD83,New Mexico CS83 West zone,New Mexico West,,,23,0
NAD83 / New York  East,,32115,United States - New York - counties east of 75d 15m West excluding Long Island.,02-Jun-95,4269,13131,NAD83,New York CS83 East zone,New York  East,,,22,0
NAD83 / New York Central,,32116,United States - New York - counties between 75d 15m & 77d 30m West.,02-Jun-95,4269,13132,NAD83,New York CS83 Central zone,New York Central,,,24,0
NAD83 / New York  West,,32117,United States - New York - counties west of 77d 30m West.,02-Jun-95,4269,13133,NAD83,New York CS83 West zone,New York  West,,,22,0
NAD83 / New York Long Island,NAD83 / New York Long Is,32118,United States - New York - Long Island,02-Jun-95,4269,13134,NAD83,New York CS83 Long Island zone,New York Long Island,,,abbr req (28),24
NAD83 / North Carolina ,,32119,United States - North Carolina,02-Jun-95,4267,13230,NAD83,North Carolina CS83,North Carolina ,,,23,0
NAD83 / North Dakota North,NAD83 / North Dakota N,32120,United States - North Dakota - counties north of 47d 25m North.,02-Jun-95,4269,13331,NAD83,North Dakota CS83 North zone,North Dakota North,,,abbr req (26),22
NAD83 / North Dakota South,NAD83 / North Dakota S,32121,United States - North Dakota - counties south of 47d 25m North.,02-Jun-95,4269,13332,NAD83,North Dakota CS83 South zone,North Dakota South,,,abbr req (26),22
NAD83 / Ohio North,,32122,United States - Ohio - counties north of 40d 15m North.,02-Jun-95,4269,13431,NAD83,Ohio CS83 North zone,Ohio North,,,18,0
NAD83 / Ohio South,,32123,United States - Ohio - counties south of 40d 15m North.,02-Jun-95,4269,13432,NAD83,Ohio CS83 South zone,Ohio South,,,18,0
NAD83 / Oklahoma North,,32124,United States - Oklahoma - counties north of 35d 20m North.,02-Jun-95,4269,13531,NAD83,Oklahoma CS83 North zone,Oklahoma North,,,22,0
NAD83 / Oklahoma South,,32125,United States - Oklahoma - counties south of 35d 20m North.,02-Jun-95,4269,13532,NAD83,Oklahoma CS83 South zone,Oklahoma South,,,22,0
NAD83 / Oregon North,,32126,United States - Oregon - counties north of 44d 15m North.,02-Jun-95,4269,13631,NAD83,Oregon CS83 North zone,Oregon North,,,20,0
NAD83 / Oregon South,,32127,United States - Oregon - counties south of 44d 15m North.,02-Jun-95,4269,13632,NAD83,Oregon CS83 South zone,Oregon South,,,20,0
NAD83 / Pennsylvania North,NAD83 / Pennsylvania N,32128,United States - Pennsylvania - counties north of 40d 50m North.,02-Jun-95,4269,13731,NAD83,Pennsylvania CS83 North zone,Pennsylvania North,,,abbr req (26),22
NAD83 / Pennsylvania South,NAD83 / Pennsylvania S,32129,United States - Pennsylvania - counties south of 40d 50m North.,02-Jun-95,4269,13732,NAD83,Pennsylvania CS83 South zone,Pennsylvania South,,,abbr req (26),22
NAD83 / Rhode Island ,,32130,United States - Rhode Island,02-Jun-95,4269,13830,NAD83,Rhode Island CS83,Rhode Island ,,,21,0
NAD83 / South Carolina ,,32133,United States - South Carolina,02-Jun-95,4269,13930,NAD83,South Carolina CS83,South Carolina ,,,23,0
NAD83 / South Dakota North,NAD83 / South Dakota N,32134,United States - South Dakota - counties north of 44d 20m North.,02-Jun-95,4269,14031,NAD83,South Dakota CS83 North zone,South Dakota North,,,abbr req (26),22
NAD83 / South Dakota South,NAD83 / South Dakota S,32135,United States - South Dakota - counties south of 44d 20m North.,02-Jun-95,4269,14032,NAD83,South Dakota CS83 South zone,South Dakota South,,,abbr req (26),22
NAD83 / Tennessee ,,32136,United States - Tennessee,02-Jun-95,4269,14130,NAD83,Tennessee CS83,Tennessee ,,,18,0
NAD83 / Texas North,,32137,United States - Texas - counties north of 34d 20m North.,02-Jun-95,4269,14231,NAD83,Texas CS83 North zone,Texas North,,,19,0
NAD83 / Texas North Central,NAD83 / Texas North Cen.,32138,United States - Texas - counties between 34d 20m & 32deg North.,02-Jun-95,4269,14232,NAD83,Texas CS83 North Central zone,Texas North Central,,,abbr req (27),24
NAD83 / Texas Central,,32139,United States - Texas - counties between 32deg & 30d 10m North.,02-Jun-95,4269,14233,NAD83,Texas CS83 Central zone,Texas Central,,,21,0
NAD83 / Texas South Central,NAD83 / Texas South Cen.,32140,United States - Texas - counties between 30d 10m & 28d 05m North.,02-Jun-95,4269,14234,NAD83,Texas CS83 South Central zone,Texas South Central,,,abbr req (27),24
NAD83 / Texas South,,32141,United States - Texas - counties south of 28d 05m North.,02-Jun-95,4269,14235,NAD83,Texas CS83 South zone,Texas South,,,19,0
NAD83 / Utah North,,32142,United States - Utah - counties north of 40d 50m North.,02-Jun-95,4269,14331,NAD83,Utah CS83 North zone,Utah North,,,18,0
NAD83 / Utah Central,,32143,United States - Utah - counties between 40d 50m & 38d 30m North.,02-Jun-95,4269,14332,NAD83,Utah CS83 Central zone,Utah Central,,,20,0
NAD83 / Utah South,,32144,United States - Utah - counties south of 38d 30m North.,02-Jun-95,4269,14333,NAD83,Utah CS83 South zone,Utah South,,,18,0
NAD83 / Vermont ,,32145,United States - Vermont,02-Jun-95,4269,14430,NAD83,Vermont CS83,Vermont ,,,16,0
NAD83 / Virginia North,,32146,United States - Virginia - counties north of 38d 05m North.,02-Jun-95,4269,14531,NAD83,Virginia CS83 North zone,Virginia North,,,22,0
NAD83 / Virginia South,,32147,United States - Virginia - counties south of 38d 05m North.,02-Jun-95,4269,14532,NAD83,Virginia CS83 South zone,Virginia South,,,22,0
NAD83 / Washington North,,32148,United States - Washington - counties north of 47d 30m North.,02-Jun-95,4269,14631,NAD83,Washington CS83 North zone,Washington North,,,24,0
NAD83 / Washington South,,32149,United States - Washington - counties south of 47d 30m North.,02-Jun-95,4269,14632,NAD83,Washington CS83 South zone,Washington South,,,24,0
NAD83 / West Virginia North,NAD83 / West Virginia N,32150,United States - West Virginia - counties north of 39deg North.,02-Jun-95,4269,14731,NAD83,West Virginia CS83 North zone,West Virginia North,,,abbr req (27),23
NAD83 / West Virginia South,NAD83 / West Virginia S,32151,United States - West Virginia - counties south of 39deg North.,02-Jun-95,4269,14732,NAD83,West Virginia CS83 South zone,West Virginia South,,,abbr req (27),23
NAD83 / Wisconsin North,,32152,United States - Wisconsin - counties north of 45d 35mm North.,02-Jun-95,4269,14831,NAD83,Wisconsin CS83 North zone,Wisconsin North,,,23,0
NAD83 / Wisconsin Central,NAD83 / Wisconsin Cen.,32153,United States - Wisconsin - counties between 45d 35mm & 44d 15m North.,02-Jun-95,4269,14832,NAD83,Wisconsin CS83 Central zone,Wisconsin Central,,,abbr req (25),22
NAD83 / Wisconsin South,,32154,United States - Wisconsin - counties south of 44d 15m North.,02-Jun-95,4269,14833,NAD83,Wisconsin CS83 South zone,Wisconsin South,,,23,0
NAD83 / Wyoming East ,,32155,United States - Wyoming - counties east of 106d West.,02-Jun-95,4269,14931,NAD83,Wyoming CS83 East zone ,Wyoming East ,,,21,0
NAD83 / Wyoming East Central ,NAD83 / Wyoming E. Cen.,32156,United States - Wyoming - counties between 106d & 108d 10m West.,02-Jun-95,4269,14932,NAD83,Wyoming CS83 East Central zone ,Wyoming East Central ,,,abbr req (29),23
