Geographic,Geog.,Area,Geodetic,Geodetic Datum Name,Geodetic,Ellipsoid,Ellipsoid,Prime,Prime,Information Source,Geodetic Datum Remarks,Geographic,Revision,Datum,Datum,GeogCS
PSAD56,4248,South America,6248,Provisional South American Datum 1956,PSAD56,7022,International 1924 ,8901,Greenwich,,Fundamental Point: La Canoa. Latitude: 8Deg 34Min 17.170Sec N; Longitude: 63Deg 51Min 34.880Sec W (of Greenwich).,,02-Jun-95,abbr req (37),6,6
Pulkovo 1942,4284,Former Soviet Union,6284,Pulkovo 1942,,7024,Krassowsky 1940 ,8901,Greenwich,,Fundamental Point: Pulkovo observatory. Latitude: 59Deg 46Min 18.550Sec N; Longitude: 30Deg 19Min 42.090Sec E (of Greenwich).,,02-Jun-95,12,0,12
Qatar,4285,Qatar - onshore,6285,Qatar,,7022,International 1924 ,8901,Greenwich,,Fundamental Point: Station G3,,02-Jun-95,5,0,5
Qatar 1948,4286,Qatar - onshore,6286,Qatar 1948,,7020,Helmert 1906 ,8901,Greenwich,,Fundamental Point: Sokey 0 M. Latitude: 25Deg 22Min 56.500Sec N; Longitude: 50Deg 45Min 41.000Sec E (of Greenwich).,,02-Jun-95,10,0,10
Qornoq,4287,Greenland,6287,Qornoq,,7022,International 1924 ,8901,Greenwich,,,,02-Jun-95,6,0,6
RT38,4290,Sweden,6290,RT38,,7004,Bessel 1841 ,8901,Greenwich,,,,02-Jun-95,4,0,4
SAD69,4291,South America,6291,South American Datum 1969,SAD69,7023,International 1967 ,8901,Greenwich,,,,02-Jun-95,abbr req (25),5,5
Sapper Hill 1943,4292,Falkland Islands,6292,Sapper Hill 1943,,7022,International 1924 ,8901,Greenwich,,,,02-Jun-95,16,0,16
Schwarzeck,4293,Namibia,6293,Schwarzeck,,7006,Bessel Namibia,8901,Greenwich,,,,02-Jun-95,10,0,10
Segora,4294,Indonesia - southeast Kalimantan,6294,Segora,,7004,Bessel 1841 ,8901,Greenwich,,,,02-Jun-95,6,0,6
Serindung,4295,Indonesia - east Kalimantan,6295,Serindung,,7004,Bessel 1841 ,8901,Greenwich,,,,02-Jun-95,9,0,9
Stockholm 1938,4308,Sweden,6308,Stockholm 1938,,7004,Bessel 1841 ,8901,Greenwich,,Fundamental Point: Stockholm observatory,,02-Jun-95,14,0,14
Sudan,4296,Sudan - south,6296,Sudan,,7011,Clarke 1880 (IGN) ,8901,Greenwich,,,,02-Jun-95,5,0,5
Tananarive,4297,Madagascar,6297,Tananarive 1925,Tananarive,7022,International 1924 ,8901,Greenwich,,Fundamental Point: Tananarive observatory. Latitude: 18Deg 55Min  2.100Sec S; Longitude: 45Deg 12Min 52.800Sec E (of Greenwich).,,02-Jun-95,15,10,10
Tananarive (Paris),4810,Madagascar,6297,Tananarive 1925,Tananarive,7022,International 1924 ,8903,Paris,,Fundamental Point: Tananarive observatory. Latitude: 18Deg 55Min  2.100Sec S; Longitude: 45Deg 12Min 52.800Sec E (of Greenwich).,Angle units: grads.,02-Jun-95,15,10,18
TC(1948),4303,United Arab Emirates,6303,Trucial Coast 1948,TC(1948),7020,Helmert 1906 ,8901,Greenwich,,Fundamental Point: TC1. Latitude: 25Deg 23Min 50.190Sec N; Longitude: 55Deg 26Min 43.950Sec E (of Greenwich).,,02-Jun-95,18,8,8
Timbalai 1948,4298,Brunei                                                  Malaysia - East Malaysia,6298,Timbalai 1948,,7016,Everest 1830 (1967 Definition) ,8901,Greenwich,,Fundamental Point: Timbalai. Latitude: 5Deg 17Min  3.548Sec N; Longitude: 115Deg 10Min 56.409Sec E (of Greenwich).,,02-Jun-95,13,0,13
TM65,4299,Ireland - onshore                              United Kingdom - Ulster onshore,6299,TM65,,7002,Airy Modified 1849 ,8901,Greenwich,,,,02-Jun-95,4,0,4
TM75,4300,Ireland - onshore                              United Kingdom - Ulster onshore,6300,TM75,,7002,Airy Modified 1849 ,8901,Greenwich,,,,02-Jun-95,4,0,4
Tokyo,4301,Japan                                             Korea North                                        Korea South,6301,Tokyo,,7004,Bessel 1841 ,8901,Greenwich,,Fundamental Point: Tokyo observatory. Latitude: 35Deg 19Min 17.515Sec N; Longitude: 139Deg 44Min 40.900Sec E (of Greenwich).,,02-Jun-95,5,0,5
Trinidad 1903,4302,Trinidad and Tobago - Trinidad,6302,Trinidad 1903,,7007,Clarke 1858 ,8901,Greenwich,,,,02-Jun-95,13,0,13
Voirol 1875,4304,Algeria - north of 32 deg N,6304,Voirol 1875,,7011,Clarke 1880 (IGN) ,8901,Greenwich,IGN Paris,Fundamental Point: Voirol. Latitude: 40.835864 grads N; Longitude: 0.788735 grads E of Paris.,,02-Jun-95,11,0,11
Voirol 1875 (Paris),4811,Algeria - north of 32 deg N,6304,Voirol 1875,,7011,Clarke 1880 (IGN) ,8903,Paris,IGN Paris,Fundamental Point: Voirol. Latitude: 40.835864 grads N; Longitude: 0.788735 grads E of Paris.,Angle units: grads.,02-Jun-95,11,0,19
Voirol Unifie,4305,Algeria - north of 32 deg N,6305,Voirol Unifie 1960,Voirol Unifie,7011,Clarke 1880 (IGN) ,8901,Greenwich,"""Le System Geodesique Nord-Sahara""; IGN Paris",Conformal transformation from ED50. Used only with Lambert Algeria zones: in other cases use Nord Sahara 1959 geodetic datum.,,02-Jun-95,18,13,13
Voirol Unifie (Paris),4812,Algeria - north of 32 deg N,6305,Voirol Unifie 1960,Voirol Unifie,7011,Clarke 1880 (IGN) ,8903,Paris,"""Le System Geodesique Nord-Sahara""; IGN Paris",Conformal transformation from ED50. Used only with Lambert Algeria zones: in other cases use Nord Sahara 1959 geodetic datum.,Angle units: grads.,02-Jun-95,18,13,21
WGS 72,4322,World,6322,WGS 72,,7026,NWL 10D ,8901,Greenwich,,Used by GPS before 1987. For Transit satellite positioning see also WGS 72BE.                                                                                                                      Datum code 6323 reserved for southern hemisphere ProjCS's.,GeogCS code 4323 reserved for use with  ProjCS's.,02-Jun-95,6,0,6
WGS 72BE,4324,World,6324,WGS 72 Transit Broadcast Ephemeris,WGS 72BE,7026,NWL 10D ,8901,Greenwich,,Alleged datum for use with Transit broadcast ephemeris prior to 1989. Relationship to D206 (WGS 72) has changed over time.                            Datum code 6325 reserved for southern hemisphere ProjCS's.,GeogCS code 4325 reserved for use with  ProjCS's.,02-Jun-95,abbr req (34),8,8
WGS 84,4326,World,6326,WGS 84,,7030,WGS 84 ,8901,Greenwich,,Origin at geocentre.                                                                                                  Datum code 6327 reserved for southern hemisphere ProjCS's,GeogCS code 4327 reserved for use with  ProjCS's.,02-Jun-95,6,0,6
Yacare,4309,Uruguay,6309,Yacare,,7022,International 1924 ,8901,Greenwich,,,,02-Jun-95,6,0,6
Yoff,4310,Senegal,6310,Yoff,,7011,Clarke 1880 (IGN) ,8901,Greenwich,,,,02-Jun-95,4,0,4
Zanderij,4311,Suriname,6311,Zanderij,,7022,International 1924 ,8901,Greenwich,,,,02-Jun-95,8,0,8
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
