"COORD_OP_METHOD_CODE","COORD_OP_METHOD_NAME","REVERSE_OP","FORMULA","EXAMPLE","REMARKS","INFORMATION_SOURCE","DATA_SOURCE","REVISION_DATE","CHANGE_ID","DEPRECATED"
9630,Reversible polynomial (4th-order),1,See EPSG Guidance Note 7.,"For geodetic transformation ED50 to ED87 (1)

Offset unit:  degree
Ordinate 1 of evaluation point X0  =   55° 00' 00.000""N  = +55 degrees
Ordinate 2 of evaluation point Y0  =     0° 00' 00.000""E   =   +0 degrees

Parameters:
A0 = -5.56098E-06   A1 = -1.55391E-06   ...   A14 = -4.01383E-09
B0 = +1.48944E-05   B2 = +2.68191E-05  ...   B14 = +7.62236E-09

Forward calculation for: 
ED50 Latitude     = Xs =52* 30’30""N   =     +52.508333333 degrees
ED50 Longitude  = Ys =  2*E=      +2.0 degrees   

U = XS - X0 =  * ED50 - X0  = 52.508333333 - 55.0 = -2.491666667 degrees
V = YS - Y0 =  * ED50 - Y0   = 2.0 - 0.0 = 2.0 degrees

dX = A0 + A1.U + ... + A14.V4
      = -5.56098E-06 + (-1.55391E-06 * -2.491666667) + ... + (-4.01383E-09 * 2.0^4)
      = -3.12958E-06 degrees

dY = B0 + B1.U + ... + B14.V4
      = +1.48944E-05 + (2.68191E-05 * -2.491666667) + ... + (7.62236E-09 * 2.0^4)
      = +9.80126E-06 degrees

Then  ED87 Latitude  =   XT = XS + dX
                                  =  52.508333333 - 3.12958E-06   degrees
                                  = 52* 30’ 29.9887"" N

ED87 Longitude  =   YT = YS + dY
                           = 2* 00’ 00.0353"" E


Reverse calculation for transformation ED50 to ED87 (1).
The transformation method for the ED50 to ED87 (1) transformation, 4th-order reversible polynomial, is reversible. The same formulas may be applied for the reverse calculation, but coefficients A0 through A14 and B0 through B14 are applied with reversal of their signs. Sign reversal is not applied to the coordinates of the evaluation point. Thus:
Ordinate 1 of evaluation point X0  =   55° 00' 00.000""N  = +55 degrees
Ordinate 2 of evaluation point Y0  =     0° 00' 00.000""E   =   +0 degrees
A0  = +5.56098E-06   A1 = +1.55391E-06   ...   A14 = +4.01383E-09
B0  = -1.48944E-05    B1 = -2.68191E-05    ...   B14 = -7.62236E-09

Reverse calculation for: 
ED87 Latitude     = XS = 52° 30’29.9887""N   =     +52.5083301944 degrees
ED87 Longitude  = YS =   2° 00’ 00.0353"" E   =     +2.0000098055 degrees   

U = 52.5083301944 - 55.0 = -2.4916698056 degrees
V = 2.0000098055 - 0.0 = 2.0000098055 degrees

dX = A0 + A1.U + ... + A14.V4
      = +5.56098E-06 + (1.55391E-06 * -2.491666667) + ... + (4.01383E-09 * 2.0000098055^4)
      = +3.12957E-06 degrees

dY = B0 + B1.U + ... + B14.V4
      = -1.48944E-05 + (-2.68191E-05 * -2.491666667) + ... + (-7.62236E-09 * 2.0000098055^4)
      = -9.80124E-06 degrees

Then ED50 Latitude  =   XT = XS + dX
                                 = 52.5083301944 + 3.12957E-06   degrees
                                 = 52° 30’ 30.000"" N

ED50 Longitude  =   YT = YS + dY
                           = 2° 00’ 00.000"" E",Reversibility is subject to constraints.  See Guidance Note 7 for clarification.,EPSG guidance note #7.,EPSG,2000-03-07 00:00:00,99.64,1
9631,Complex polynomial (3rd-order),0,"The relationship between two projected coordinate reference systems may be approximated more elegantly by a single polynomial regression formula written in terms of complex numbers. The advantage is that the dependence between the ‘A’ and ‘B’ coefficients (for U and V) is taken into account in the formula, resulting in fewer coefficients for the same order polynomial. A third-order polynomial in complex numbers is used in Belgium.  A fourth-order polynomial in complex numbers is used in The Netherlands for transforming coordinates referenced to the Amersfoort / RD system to and from ED50 / UTM.

(dX + i. dY) = (A1 + i. A2).(U + i.V) + (A3 + i. A4).(U + i.V)^2 + (A5 + i. A6).(U + i.V)^3 

where U = (XS - XS0).10-5
and     V = (YS - YS0).10-5

Then
XT  = XS - XS0 + XT0 + dX
YT  = YS - YS0 + YT0 + dY

where
XT , YT      are coordinates in the target coordinate reference system,
XS , YS      are coordinates in the source coordinate reference system,
XS0 , YS0   are coordinates of the evaluation point in the source coordinate reference system,
XT0 , YT0   are coordinates of the evaluation point in the target coordinate reference system.

Note that the zero order coefficients of the general polynomial, A0 and B0, have apparently disappeared.  In reality they are absorbed by the different coordinates of the source and of the target evaluation point, which in this case, are numerically very different because of the use of two different projected coordinate reference systems for source and target.

The transformation parameter values (the coefficients) are not reversible.  For the reverse transformation a different set of parameter values are required, used within the same formulas as the forward direction","For transformation Belge Lambert 72 to ED50 / UTM zone 31N,

Eo1 = 0
No1 = 0
Eo2 = 449681.702
No2 = 5460505.326
A1 = -71.3747
A2 = 1858.8407
A3 = -5.4504
A4 = -16.9681
A5 = 4.0783
A6 = 0.2193

For source coordinate system E1=200000  N1=100000, then
E2 = 647737.377  N2 = 5564124.227.",Coordinate pairs treated as complex numbers.  This exploits the correlation between the polynomial coefficients and leads to a smaller number of coefficients than the regular 3rd-order polynomial.,EPSG guidance note #7.,EPSG,2000-03-07 00:00:00,,1
9632,Complex polynomial (4th-order),0,"The relationship between two projected coordinate reference systems may be approximated more elegantly by a single polynomial regression formula written in terms of complex numbers. The advantage is that the dependence between the ‘A’ and ‘B’ coefficients (for U and V) is taken into account in the formula, resulting in fewer coefficients for the same order polynomial. A third-order polynomial in complex numbers is used in Belgium.  A fourth-order polynomial in complex numbers is used in The Netherlands for transforming coordinates referenced to the Amersfoort / RD system to and from ED50 / UTM.

(dX + i. dY) = (A1 + i. A2).(U + i.V) + (A3 + i. A4).(U + i.V)^2 + (A5 + i. A6).(U + i.V)^3 + (A7 + i.A8).(U + i.V)^4

where U = (XS - XS0).10-5
and     V = (YS - YS0).10-5

Then
XT  = XS - XS0 + XT0 + dX
YT  = YS - YS0 + YT0 + dY

where
XT , YT      are coordinates in the target coordinate reference system,
XS , YS      are coordinates in the source coordinate reference system,
XS0 , YS0   are coordinates of the evaluation point in the source coordinate reference system,
XT0 , YT0   are coordinates of the evaluation point in the target coordinate reference system.

Note that the zero order coefficients of the general polynomial, A0 and B0, have apparently disappeared.  In reality they are absorbed by the different coordinates of the source and of the target evaluation point, which in this case, are numerically very different because of the use of two different projected coordinate reference systems for source and target.

The transformation parameter values (the coefficients) are not reversible.  For the reverse transformation a different set of parameter values are required, used within the same formulas as the forward direction.","For transformation RD / Netherlands New to ED50 / UTM zone 31N,

Eo1 = 155000
No1 = 463000
Eo2 = 663395.607
No2 = 5781194.380
A1 = -51.681
A2 = 3290.525
A3 = 20.172
A4 = 1.133
A5 = 2.075
A6 = 0.251
A7 = 0.075
A8 = -0.012

For source coordinate system E1=200000  N1=500000, then
E2 =707155.557  N2 = 5819663.128.",Coordinate pairs treated as complex numbers.  This exploits the correlation between the polynomial coefficients and leads to a smaller number of coefficients than the regular 4th-order polynomial.,EPSG guidance note #7.,EPSG,2000-03-07 00:00:00,,1
9633,Ordnance Survey National Transformation,1,See information source.,See information source.,Geodetic transformation between ETRS89 (or WGS 84) and OSGB36 / National Grid.  Uses ETRS89 / National Grid as an intermediate coordinate system for bi-linear interpolation of gridded grid coordinate differences.,http://www.gps.gov.uk/gpssurveying.asp,EPSG,2000-10-19 00:00:00,,0
9634,Maritime Provinces polynomial interpolation,0,"The transformation makes use of a residual file for each Canadian maritime province.  The process of residual interpolation accounts for local variations in the coordinate system and provides a transformation accuracy of +/- 5 cm.

By using a second residual file, the transformation may be reversed.  Only one residual file is in use by the method during any given execution.",,This transformation is an executable module within the application NBGeocalc.  It is an adaptation of the ESTPM program developed by Geodetic Survey of Canada.,Survey of New Brunswick,EPSG,2000-10-19 00:00:00,,0
9635,Geographic3D to Geographic2D+GravityRelatedHeight,1,"This is a complex, multi-step transformation, involving the application of a geoid height difference interpolated at a point in a ""geoid model"". The geoid model should be available as a regular grid of latitude and longitude with the height of the geoid above the ellipsoid at each grid node. Only the height is affected by this transformation; the geodetic latitude and longitude are not.

The transformation involves the following sequence of steps:
·  Selection of a subset of the geoid file covering the extent of the points to be transformed.
·  If the geoid file is not based on the source or target CRS, it needs to be transformed first. This involves transformation of the chosen subset of the geoid file from its orignal Geographic 3D CRS to the Geographic 3D CRS that is the source or the target of this transformation.
·  Calculation of the height of the geoid above the ellipsoid (""geoid undulation"") at the relevant point(s). This is achieved through a bi-linear interpolation of the geoid undulation, using the latitude and longitude to locate the point in the sub-grid.  This step results in the height of the geoid above the ellipsoid (N) of the Geographic 3D CRS, whether source or target.
·  At each point, the application of the calculated geoid undulation to the height to be transformed.

H=h-N for Geographic3D to Geographic2D+GravityRelatedHeight

h=H+N for Geographic2D+GravityRelatedHeight to Geographic3D

where h = the ellipsoidal height (height above the ellipsoid in a geographic 3D CRS)
and H = the Gravity-Related Height component of the compound CRS.",,"Transformation from a Geographic 3D CRS to a Compound CRS consisting of a Geographic 2D CRS and a Vertical CRS, or vice versa. The Geographic 3D and the Geographic 2D CRS must be based on the same Geodetic Datum.",,EPSG,2001-06-05 00:00:00,,0
9636,Molodenski-Badekas transformation,1,"To eliminate high correlation between the translations and rotations in the derivation of parameter values for the Helmert transformation methods (coordinate operation metghod codes 9606 and 9607), instead of the rotations being derived about the geocentric coordinate reference system origin they may be derived at a location within the points used in the determination. Three additional parameters, the coordinates of the rotation point, are then required. The formula is:

   (Xt)             (  1       +Rz    -Ry)      (Xs - Xp)      (Xp)       (dX)
   (Yt)  =  M *  ( -Rz      1      +Rx)  *  (Ys - Yp)  +  (Yp)  +  (dY)
   (Zt)              ( +Ry   -Rx       1 )      (Zs - Zp)      (Zp)       (dZ)

and the parameters are defined as:

(dX, dY, dZ)   : Translation vector, to be added to the point's position vector in the source coordinate system in order to transform from source coordinate reference system to target coordinate reference system; also: the coordinates of the origin of source coordinate reference system in the target frame.

(Rx, Ry, Rz)   : Rotations to be applied to the coordinate reference frame.  The sign convention is such that a positive rotation of the frame about an axis is defined as a clockwise rotation of the coordinate reference frame when viewed from the origin of the Cartesian coordinate system in the positive direction of that axis, that is a positive rotation about the Z-axis only from source coordinate reference system to target coordinate reference system will result in a smaller longitude value for the point in the target coordinate reference system. Although rotation angles may be quoted in any angular unit of measure, the formula as given here requires the angles to be provided in radians.

(Xp, Yp, Zp)   : Coordinates of the point about which the coordinate reference frame is rotated, given in the source Cartesian coordinate reference system. 

M                  : The scale factor to be applied to the position vector in the source coordinate reference system  in order to obtain the correct scale of the target coordinate reference system. M = (1+dS*10^-6), where dS is the scale correction expressed in parts per million.

Reversibility.
The Molodensky-Badekas transformation in a strict mathematical sense is not reversible, i.e. in principle the same parameter values cannot be used to execute the reverse transformation. This is because the evaluation point coordinates are in the forward direction source coordinate reference system and the rotations have been derived about this point. They should not be applied about the point having the same coordinate values in the target coordinate reference system, as is required for the reverse transformation. However, in practical application there are exceptions when applied to the approximation of small differences between the geometry of a set of points in two different coordinate reference systems. The typical vector difference in coordinate values is in the order of 6*10^1 to 6*10^2 metres, whereas the evaluation point on or near the surface of the earth is 6.3*10^6 metres from the origin of the coordinate systems at the Earth’s centre. This difference of four or five orders of magnitude allows the transformation in practice to be considered reversible. Note that in the reverse transformation, only the signs of the translations and rotation parameter values are reversed; the coordinates of the evaluation point remain unchanged.",,,EPSG guidance note #7.,EPSG,2001-11-06 00:00:00,2002.51,0
9637,Degree representation conversion: deg to DMSH,1,"In the formulas that follow, the coordinate strings are symbolically represented as follows:

deg                     decimal degrees
adeg                   absolute value of decimal degrees
ideg                     integer degrees
sdeg                   signed integer degree
min                      real-number minutes
imin                      integer minutes
sec                      real-number seconds
lathem, lonhem    hemisphere abbreviation


Forward calculation from decimal degree representation to DMSH representation:
adeg = ABS(deg)
ideg = INT(adeg)

min = (adeg - ideg) * 60
imin = INT(min)
sec =  (min - imin) * 60

Then for latitude, if deg < 0, lathem = S else lathem = N
For longitude, if deg < 0, lonhem = W else lonhem = E

Reverse calculation from DMSH representation to decimal degree representation:
deg = (ideg + imin/60 + sec/3600) * H
where for latitude H = 1 if lathem = N and H = -1 if lathem = S
and for longitude  H = 1 if lonhem = E and H = -1 if lonhem = W","Source CRS = WGS 84 (deg) (CRS code 63266405).
Latitude = 35.75255, longitude = -85.20415

Target CRS in DMSH = WGS 84 (CRS code 4326)
Latitude = 35°45’09.18”N, longitude =  85°12’14.94”W",Applies to 2D and the horizontal component of 3D ellipsoidal  systems.,EPSG guidance note #7.,EPSG,2002-11-22 00:00:00,,1
9638,Degree representation conversion: degH to DMSH,1,"In the formulas that follow, the coordinate strings are symbolically represented as follows:

deg                     decimal degrees
adeg                   absolute value of decimal degrees
ideg                     integer degrees
sdeg                   signed integer degree
min                      real-number minutes
imin                      integer minutes
sec                      real-number seconds
lathem, lonhem    hemisphere abbreviation


In this conversion (both forward and reverse) the hemisphere parameter remains unchanged and retains its position in the respective coordinate strings.

Forward calculation from degH representation to DMSH representation:
ideg = INT(adeg)

min = (adeg - ideg) * 60
imin = INT(min)
sec =  (min - imin) * 60

Reverse calculation from DMSH representation to decimal degree representation:
adeg = (ideg + imin/60 + sec/3600)","Source CRS = WGS 84 (degH) (CRS code 63266406).
Latitude = 35.75255N, longitude = 85.20415W

Target CRS in DMSH = WGS 84 (CRS code 4326)
Latitude = 35°45’09.18”N, longitude =  85°12’14.94”W",Applies to 2D and the horizontal component of 3D ellipsoidal  systems.,EPSG guidance note #7.,EPSG,2002-11-22 00:00:00,,1
9639,Degree representation conversion: Hdeg to DMSH,1,"In the formulas that follow, the coordinate strings are symbolically represented as follows:

deg                     decimal degrees
adeg                   absolute value of decimal degrees
ideg                     integer degrees
sdeg                   signed integer degree
min                      real-number minutes
imin                      integer minutes
sec                      real-number seconds
lathem, lonhem    hemisphere abbreviation


In this conversion the hemisphere parameters retain their values but change their positions in their respective coordinate strings from the end of the strings to the beginnings (both forward and reverse).

Forward calculation from Hdeg representation to DMSH representation:
First, re-order fields from
          lathem, lat_adeg   and    lonhem, lon_adeg
to       lat_adeg, lathem   and    lon_adeg, lonhem  

Then 
ideg = INT(adeg)

min = (adeg - ideg) * 60
imin = INT(min)
sec =  (min - imin) * 60


Reverse calculation from DMSH representation to Hdeg representation:
adeg = (ideg + imin/60 + sec/3600)

Then re-order fields from
          lat_adeg, lathem   and    lon_adeg, lonhem
to       lathem, lat_adeg   and    lonhem, lon_adeg","Source CRS = WGS 84 (Hdeg) (CRS code 63266407).
Latitude = N35.75255, longitude = W85.20415

Target CRS in DMSH = WGS 84 (CRS code 4326)
Latitude = 35°45’09.18”N, longitude =  85°12’14.94”W",Applies to 2D and the horizontal component of 3D ellipsoidal  systems.,EPSG guidance note #7.,EPSG,2002-11-22 00:00:00,,1
9640,Degree representation conversion: DM to DMSH,1,"In the formulas that follow, the coordinate strings are symbolically represented as follows:

deg                     decimal degrees
adeg                   absolute value of decimal degrees
ideg                     integer degrees
sdeg                   signed integer degree
min                      real-number minutes
imin                      integer minutes
sec                      real-number seconds
lathem, lonhem    hemisphere abbreviation


Forward calculation from DM representation to DMSH representation:

ideg = ABS(sdeg)

imin = INT(min)
sec = (min - imin) * 60

If lat_sdeg < 0, lathem = S else lathem = N
If lon_sdeg < 0, lonhem = W else lathem = E


Reverse calculation from DMSH representation to DM representation:
sdeg = ideg * H
where for latitude, H = 1 if lathem = N and H = -1 if lathem = S
and for longitude  H = 1 if lonhem = E and H = -1 if lonhem = W

Then
min = imin + (sec / 60)","Source CRS = WGS 84 (DM) (CRS code 63266408).
Latitude = 35°45.153’, longitude = -85°12.249’

Target CRS in DMSH = WGS 84 (CRS code 4326)
Latitude = 35°45’09.18”N, longitude =  85°12’14.94”W",Applies to 2D and the horizontal component of 3D ellipsoidal  systems.,EPSG guidance note #7.,EPSG,2002-11-22 00:00:00,,1
9641,Degree representation conversion: DMH to DMSH,1,"In the formulas that follow, the coordinate strings are symbolically represented as follows:

deg                     decimal degrees
adeg                   absolute value of decimal degrees
ideg                     integer degrees
sdeg                   signed integer degree
min                      real-number minutes
imin                      integer minutes
sec                      real-number seconds
lathem, lonhem    hemisphere abbreviation


The degree and hemisphere parameters remain unchanged in this conversion (both forward and reverse) and also retain their position in their respective coordinate strings.

Forward calculation from DMH representation to DMSH representation:
imin = INT(min)
sec = (min - imin) * 60

Reverse calculation from DMSH representation to DMH representation:
min = imin + (sec / 60)","Source CRS = WGS 84 (DMH) (CRS code 63266409).
Latitude = 35°45.153’ N, longitude = 85°12.249’ W

Target CRS in DMSH = WGS 84 (CRS code 4326)
Latitude = 35°45’09.18”N, longitude =  85°12’14.94”W",Applies to 2D and the horizontal component of 3D ellipsoidal  systems.,EPSG guidance note #7.,EPSG,2002-11-22 00:00:00,,1
9642,Degree representation conversion: HDM to DMSH,1,"In the formulas that follow, the coordinate strings are symbolically represented as follows:

deg                     decimal degrees
adeg                   absolute value of decimal degrees
ideg                     integer degrees
sdeg                   signed integer degree
min                      real-number minutes
imin                      integer minutes
sec                      real-number seconds
lathem, lonhem    hemisphere abbreviation


In this conversion the degree parameters remain unchanged in this conversion (both forward and reverse). The hemisphere parameters retain their values but change their positions in their respective coordinate strings.

Forward calculation from HDM representation to DMSH representation:
imin = INT(min)
sec = (min - imin) * 60
Then reorder fields from hem, ideg, imin, sec to ideg, imin, sec, hem.

Reverse calculation from DMSH representation to HDM representation:
min = imin + (sec / 60)
Then re-order fields from ideg, min, hem to hem, ideg, min.","Source CRS = WGS 84 (HDM) (CRS code 63266410).
Latitude = N35°45.153’, longitude =  W85°12.249’

Target CRS in DMSH = WGS 84 (CRS code 4326)
Latitude = 35°45’09.18”N, longitude =  85°12’14.94”W",Applies to 2D and the horizontal component of 3D ellipsoidal  systems.,EPSG guidance note #7.,EPSG,2002-11-22 00:00:00,,1
9643,Degree representation conversion: DMS to DMSH,1,"In the formulas that follow, the coordinate strings are symbolically represented as follows:

deg                     decimal degrees
adeg                   absolute value of decimal degrees
ideg                     integer degrees
sdeg                   signed integer degree
min                      real-number minutes
imin                      integer minutes
sec                      real-number seconds
lathem, lonhem    hemisphere abbreviation


In this conversion (both forward and reverse) the minute and second parameters remain unchanged.

Forward calculation from DMS representation to DMSH representation:

ideg = ABS(sdeg)
If lat_sdeg < 0, lathem = S else lathem = N
If lon_sdeg < 0, lonhem = W else lathem = E

Reverse calculation from DMSH representation to DMS representation:
sdeg = ideg * H
where for latitude, H = 1 if lathem = N and H = -1 if lathem = S
and for longitude  H = 1 if lonhem = E and H = -1 if lonhem = W","Source CRS = WGS 84 (DMS) (CRS code 63266411).
Latitude = 35°45’09.18”, longitude = -85°12’14.94”

Target CRS in DMSH = WGS 84 (CRS code 4326)
Latitude = 35°45’09.18”N, longitude =  85°12’14.94”W",Applies to 2D and the horizontal component of 3D ellipsoidal  systems.,EPSG guidance note #7.,EPSG,2002-11-22 00:00:00,,1
9644,Degree representation conversion: HDMS to DMSH,1,"In the formulas that follow, the coordinate strings are symbolically represented as follows:

deg                     decimal degrees
adeg                   absolute value of decimal degrees
ideg                     integer degrees
sdeg                   signed integer degree
min                      real-number minutes
imin                      integer minutes
sec                      real-number seconds
lathem, lonhem    hemisphere abbreviation


In this conversion the parameter values remain unchanged but are re-ordered.

For the forward calculation from HDMS representation to DMSH representation, for each of latitude and longitude re-order the fields:
          from  	hem, ideg, imin, sec
          to       	ideg, imin, sec, hem

For the reverse calculation from DMSH representation to HDMS representation, for each of latitude and longitude re-order the fields:
          from  	ideg, imin, sec, hem 
          to       	hem, ideg, imin, sec","Source CRS = WGS 84 (HDMS) (CRS code 63266412).
Latitude = N35°45’09.18”, longitude =  W85°12’14.94”

Target CRS in DMSH = WGS 84 (CRS code 4326)
Latitude = 35°45’09.18”N, longitude =  85°12’14.94”W",Applies to 2D and the horizontal component of 3D ellipsoidal  systems.,EPSG guidance note #7.,EPSG,2002-11-22 00:00:00,,1
9645,General polynomial of degree 2,0,"The simplest of all polynomials is the general polynomial function. In order to avoid problems of numerical instability this type of polynomial should be used after reducing the coordinate values in both the source and the target coordinate reference system to ‘manageable’ numbers, between –10 and +10 at most.  This is achieved by working with offsets relative to a central evaluation point, scaled to the desired number range by applying a scaling factor to the coordinate offsets.

Hence an evaluation point is chosen in the source coordinate reference system (XS0, YS0) and in the target coordinate reference system (XT0, YT0).  Often these two sets of coordinates do not refer to the same physical point but two points are chosen that have the same coordinate values in both the source and the target coordinate reference system.  (When the two points have identical coordinates, these parameters are conveniently eliminated from the formulas, but the general case where the coordinates differ is given here).

The selection of an evaluation point in each of the two coordinate reference systems allows the point coordinates in both to be reduced as follows:
XS - XS0 
YS - YS0
and
XT – XT0 
YT – YT0
These coordinate differences are expressed in their own unit of measure, which may not be the same as that of the corresponding coordinate reference system. )

A further reduction step is usually necessary to bring these coordinate differences into the desired numerical range by applying a scaling factor to the coordinate differences in order to reduce them to a value range that may be applied to the polynomial formulae below without introducing numerical precision errors:

U = mS.(XS - XS0) 
V = mS.(YS - YS0)

where 
XS , YS  are coordinates in the source coordinate reference system,
XS0 , YS0 are coordinates of the evaluation point in the source coordinate reference system,
mS is the scaling factor applied the coordinate differences in the source coordinate reference system.

The normalised coordinates U and V of the point whose coordinates are to be transformed are used as input to the polynomial transformation formula. In order to control the numerical range of the polynomial coefficients An and Bn the output coordinate differences dX and dY are multiplied by a scaling factor, mT.

mT.dX = A0 + A1.U + A2.V + A3.U^2 + A4.U.V + A5.V^2

mT.dY = B0 + B1.U + B2.V + B3.U^2 + B4.U.V + B5.V^2

from which dX and dY are evaluated. These will be in the units of the target coordinate reference system.

The polynomial coefficients are given as parameters of the form Aumvn and Bumvn, where m is the power to which U is raised and n is the power to which V is raised. For example, A3 is represented as coordinate operation parameter Au2v0.

The relationship between the two coordinate reference systems can now be written as follows:

	(XT - XT0) = (XS – XS0) + dX 
(YT - YT0) = (YS – YS0) + dY 
or
	XT = XS – XS0  + XT0 + dX 
YT = YS – YS0 + YT0 + dY 

where:
XT , YT  are coordinates in the target coordinate reference system,
XS , YS  are coordinates in the source coordinate reference system,
XS0 , YS0 are coordinates of the evaluation point in the source coordinate reference system,
XT0 , YT0  are coordinates of the evaluation point in the target coordinate reference system,
dX, dY   are derived through the scaled polynomial formulas.",,,EPSG guidance note #7.,EPSG,2002-12-21 00:00:00,,0
9646,General polynomial of degree 3,0,"The simplest of all polynomials is the general polynomial function. In order to avoid problems of numerical instability this type of polynomial should be used after reducing the coordinate values in both the source and the target coordinate reference system to ‘manageable’ numbers, between –10 and +10 at most.  This is achieved by working with offsets relative to a central evaluation point, scaled to the desired number range by applying a scaling factor to the coordinate offsets.

Hence an evaluation point is chosen in the source coordinate reference system (XS0, YS0) and in the target coordinate reference system (XT0, YT0).  Often these two sets of coordinates do not refer to the same physical point but two points are chosen that have the same coordinate values in both the source and the target coordinate reference system.  (When the two points have identical coordinates, these parameters are conveniently eliminated from the formulas, but the general case where the coordinates differ is given here).

The selection of an evaluation point in each of the two coordinate reference systems allows the point coordinates in both to be reduced as follows:
XS - XS0 
YS - YS0
and
XT – XT0 
YT – YT0
These coordinate differences are expressed in their own unit of measure, which may not be the same as that of the corresponding coordinate reference system. )

A further reduction step is usually necessary to bring these coordinate differences into the desired numerical range by applying a scaling factor to the coordinate differences in order to reduce them to a value range that may be applied to the polynomial formulae below without introducing numerical precision errors:

U = mS.(XS - XS0) 
V = mS.(YS - YS0)

where 
XS , YS  are coordinates in the source coordinate reference system,
XS0 , YS0 are coordinates of the evaluation point in the source coordinate reference system,
mS is the scaling factor applied the coordinate differences in the source coordinate reference system.

The normalised coordinates U and V of the point whose coordinates are to be transformed are used as input to the polynomial transformation formula. In order to control the numerical range of the polynomial coefficients An and Bn the output coordinate differences dX and dY are multiplied by a scaling factor, mT.

mT.dX = A0 + A1.U + A2.V + A3.U^2 + A4.U.V + A5.V^2 + A6.U^3 + A7.U^2.V + A8.U.V^2 + A9.V^3

mT.dY = B0 + B1.U + B2.V + B3.U^2 + B4.U.V + B5.V^2 + B6.U^3 + B7.U^2.V + B8.U.V^2 + B9.V^3

from which dX and dY are evaluated. These will be in the units of the target coordinate reference system.

The polynomial coefficients are given as parameters of the form Aumvn and Bumvn, where m is the power to which U is raised and n is the power to which V is raised. For example, A7 is represented as coordinate operation parameter Au2v1.

The relationship between the two coordinate reference systems can now be written as follows:

	(XT - XT0) = (XS – XS0) + dX 
(YT - YT0) = (YS – YS0) + dY 
or
	XT = XS – XS0  + XT0 + dX 
YT = YS – YS0 + YT0 + dY 

where:
XT , YT  are coordinates in the target coordinate reference system,
XS , YS  are coordinates in the source coordinate reference system,
XS0 , YS0 are coordinates of the evaluation point in the source coordinate reference system,
XT0 , YT0  are coordinates of the evaluation point in the target coordinate reference system,
dX, dY   are derived through the scaled polynomial formulas.",,,EPSG guidance note #7.,EPSG,2002-12-21 00:00:00,,0
9647,General polynomial of degree 4,0,"The simplest of all polynomials is the general polynomial function. In order to avoid problems of numerical instability this type of polynomial should be used after reducing the coordinate values in both the source and the target coordinate reference system to ‘manageable’ numbers, between –10 and +10 at most.  This is achieved by working with offsets relative to a central evaluation point, scaled to the desired number range by applying a scaling factor to the coordinate offsets.

Hence an evaluation point is chosen in the source coordinate reference system (XS0, YS0) and in the target coordinate reference system (XT0, YT0).  Often these two sets of coordinates do not refer to the same physical point but two points are chosen that have the same coordinate values in both the source and the target coordinate reference system.  (When the two points have identical coordinates, these parameters are conveniently eliminated from the formulas, but the general case where the coordinates differ is given here).

The selection of an evaluation point in each of the two coordinate reference systems allows the point coordinates in both to be reduced as follows:
XS - XS0 
YS - YS0
and
XT – XT0 
YT – YT0
These coordinate differences are expressed in their own unit of measure, which may not be the same as that of the corresponding coordinate reference system. )

A further reduction step is usually necessary to bring these coordinate differences into the desired numerical range by applying a scaling factor to the coordinate differences in order to reduce them to a value range that may be applied to the polynomial formulae below without introducing numerical precision errors:

U = mS.(XS - XS0) 
V = mS.(YS - YS0)

where 
XS , YS  are coordinates in the source coordinate reference system,
XS0 , YS0 are coordinates of the evaluation point in the source coordinate reference system,
mS is the scaling factor applied the coordinate differences in the source coordinate reference system.

The normalised coordinates U and V of the point whose coordinates are to be transformed are used as input to the polynomial transformation formula. In order to control the numerical range of the polynomial coefficients An and Bn the output coordinate differences dX and dY are multiplied by a scaling factor, mT.

mT.dX = A0 + A1.U + A2.V + A3.U^2 + A4.U.V + A5.V^2 + A6.U^3 + A7.U^2.V + A8.U.V^2 + A9.V^3
            + A10.U^4 + A11.U^3.V + A12.U^2.V^2 + A13.U.V^3 + A14.V^4

mT.dY = B0 + B1.U + B2.V + B3.U^2 + B4.U.V + B5.V^2 + B6.U^3 + B7.U^2.V + B8.U.V^2 + B9.V^3
            + B10.U^4 + B11.U^3.V + B12.U^2.V^2 + B13.U.V^3 + B14.V^4

from which dX and dY are evaluated. These will be in the units of the target coordinate reference system.

The polynomial coefficients are given as parameters of the form Aumvn and Bumvn, where m is the power to which U is raised and n is the power to which V is raised. For example, A13 is represented as coordinate operation parameter Au1v3.

The relationship between the two coordinate reference systems can now be written as follows:

	(XT - XT0) = (XS – XS0) + dX 
(YT - YT0) = (YS – YS0) + dY 
or
	XT = XS – XS0  + XT0 + dX 
YT = YS – YS0 + YT0 + dY 

where:
XT , YT  are coordinates in the target coordinate reference system,
XS , YS  are coordinates in the source coordinate reference system,
XS0 , YS0 are coordinates of the evaluation point in the source coordinate reference system,
XT0 , YT0  are coordinates of the evaluation point in the target coordinate reference system,
dX, dY   are derived through the scaled polynomial formulas.",,,EPSG guidance note #7.,EPSG,2002-12-21 00:00:00,,0
